Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
108,Anthony Davis,C,30,LAL,44,44,35.9,9.5,16.9,.558,0.3,1.1,.298,9.1,15.9,.576,.568,5.7,7.0,.808,3.2,9.0,12.2,3.8,1.2,2.3,2.1,2.5,24.9,2024
109,Johnny Davis,SG,21,WAS,20,0,7.6,1.1,2.4,.438,0.1,0.2,.333,1.0,2.3,.444,.448,0.2,0.3,.800,0.5,0.6,1.0,0.3,0.4,0.1,0.3,0.6,2.4,2024
110,JD Davison,SG,21,BOS,2,0,3.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,1.0,1.0,1.000,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2024
111,Dexter Dennis,SG,24,DAL,4,0,7.5,2.5,4.8,.526,0.3,2.0,.125,2.3,2.8,.818,.553,0.3,0.8,.333,0.3,2.0,2.3,1.0,0.0,0.3,0.8,0.3,5.5,2024
112,DeMar DeRozan,SF,34,CHI,44,44,37.2,7.8,16.6,.466,1.0,2.8,.344,6.8,13.8,.491,.495,5.7,6.7,.847,0.6,3.4,4.0,5.4,1.1,0.6,1.5,2.2,22.1,2024
113,Moussa Diabaté,C,22,LAC,10,0,5.8,0.9,1.8,.500,0.0,0.0,,0.9,1.8,.500,.500,0.9,1.2,.750,1.4,0.6,2.0,0.4,0.4,0.0,0.2,0.4,2.7,2024
114,Mamadi Diakite,PF,27,SAS,3,0,5.3,1.3,1.7,.800,0.0,0.0,,1.3,1.7,.800,.800,1.3,2.0,.667,0.3,0.7,1.0,0.7,0.0,0.3,0.0,0.3,4.0,2024
115,Hamidou Diallo,SG,25,WAS,2,0,2.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,1.0,0.0,1.0,0.5,1.0,0.0,0.5,0.5,1.0,2024
116,Gradey Dick,SG,20,TOR,23,1,12.6,1.1,3.5,.321,0.7,2.4,.291,0.4,1.1,.385,.420,0.7,0.7,1.000,0.3,0.9,1.2,1.0,0.4,0.0,0.7,1.2,3.6,2024
117,Ousmane Dieng,PF,20,OKC,22,0,11.4,1.5,3.5,.423,0.7,2.4,.308,0.8,1.2,.654,.526,0.5,0.5,.833,0.4,1.5,1.9,0.9,0.1,0.0,0.5,0.7,4.2,2024
118,Spencer Dinwiddie,PG,30,BRK,42,42,30.5,4.2,10.7,.397,2.0,6.0,.332,2.2,4.6,.482,.491,2.7,3.5,.788,0.6,2.9,3.5,6.0,0.8,0.2,1.4,1.7,13.2,2024
119,Donte DiVincenzo,SG,27,NYK,45,27,22.3,4.0,8.6,.459,2.6,6.3,.420,1.3,2.3,.562,.612,0.9,1.2,.722,0.8,2.4,3.2,2.2,1.1,0.3,1.1,1.9,11.4,2024
120,Luka Dončić,PG,24,DAL,37,37,36.9,11.4,23.7,.482,3.9,10.4,.373,7.6,13.4,.566,.563,6.8,8.9,.769,0.8,7.7,8.5,9.3,1.4,0.6,3.9,1.8,33.6,2024
121,Luguentz Dort,SF,24,OKC,42,42,28.6,3.7,8.2,.455,1.9,4.7,.408,1.8,3.5,.517,.571,1.7,2.1,.809,1.3,2.6,3.9,1.3,0.9,0.8,1.0,3.1,11.0,2024
122,Ayo Dosunmu,SG,24,CHI,44,6,23.4,3.5,7.1,.484,1.1,2.9,.370,2.4,4.3,.561,.559,1.0,1.2,.815,0.7,1.8,2.5,2.0,0.8,0.4,0.9,1.9,9.0,2024
123,Andre Drummond,C,30,CHI,46,7,15.9,3.1,5.6,.553,0.0,0.0,.000,3.1,5.5,.557,.553,1.5,2.7,.553,3.3,5.0,8.4,0.6,1.2,0.6,1.1,1.7,7.7,2024
124,Chris Duarte,SF,26,SAC,35,11,13.2,1.3,3.6,.360,0.6,1.9,.313,0.7,1.7,.414,.444,0.5,0.7,.750,0.4,1.5,1.8,0.9,0.5,0.1,0.6,1.7,3.7,2024
125,Kris Dunn,PG,29,UTA,38,20,17.6,2.1,4.4,.479,0.5,1.4,.377,1.6,3.1,.526,.538,0.3,0.5,.667,0.7,2.2,2.9,4.2,0.9,0.4,1.2,1.9,5.1,2024
126,Kevin Durant,PF,35,PHO,37,37,37.1,10.3,19.5,.529,2.3,5.1,.455,8.0,14.5,.555,.588,6.1,7.0,.873,0.5,5.9,6.4,5.7,0.9,1.2,3.1,1.9,29.1,2024
127,Jalen Duren,C,20,DET,29,28,29.7,6.2,9.8,.636,0.0,0.1,.000,6.2,9.7,.641,.636,1.6,2.2,.692,3.1,8.2,11.3,2.5,0.4,0.9,2.0,3.3,14.0,2024
128,Tari Eason,PF,22,HOU,22,0,21.8,4.0,8.6,.466,0.8,2.3,.360,3.2,6.3,.504,.513,1.0,1.5,.636,2.1,4.9,7.0,1.2,1.4,0.9,0.9,2.3,9.8,2024
129,Anthony Edwards,SG,22,MIN,42,42,34.8,8.8,19.3,.458,2.4,6.4,.374,6.4,12.9,.500,.520,5.7,6.7,.844,0.6,4.5,5.2,5.1,1.2,0.5,3.4,1.9,25.7,2024
130,Kessler Edwards,SF,23,SAC,29,0,5.0,0.6,1.4,.405,0.3,0.9,.346,0.3,0.6,.500,.512,0.1,0.1,.750,0.2,0.6,0.8,0.3,0.1,0.1,0.0,0.4,1.6,2024
131,Keon Ellis,SG,24,SAC,28,3,12.2,1.3,3.0,.434,0.9,2.4,.382,0.4,0.5,.667,.590,0.4,0.6,.647,0.3,1.0,1.3,1.3,0.5,0.4,0.5,1.4,3.9,2024
132,Joel Embiid,C,29,PHI,33,33,34.2,12.0,22.3,.539,1.2,3.2,.368,10.8,19.1,.568,.566,10.7,12.2,.883,2.7,8.8,11.4,5.8,1.1,1.8,3.6,2.8,36.0,2024
133,Drew Eubanks,C,26,PHO,38,2,15.6,2.2,3.7,.597,0.1,0.1,1.000,2.1,3.6,.588,.608,1.1,1.4,.764,1.4,2.7,4.1,0.9,0.3,0.8,1.0,1.7,5.6,2024
134,Dante Exum,PG,28,DAL,31,14,19.5,3.6,6.4,.574,0.9,2.0,.460,2.7,4.3,.627,.647,1.0,1.4,.738,0.6,2.3,2.9,2.8,0.6,0.2,0.8,1.6,9.2,2024
135,Bruno Fernando,C,25,ATL,13,0,6.5,1.1,2.1,.519,0.0,0.2,.000,1.1,1.8,.583,.519,0.8,1.5,.526,0.5,1.5,2.0,0.3,0.2,0.4,0.5,0.9,2.9,2024
136,Dorian Finney-Smith,PF,30,BRK,41,30,28.8,3.2,8.0,.405,2.0,5.4,.378,1.2,2.6,.462,.534,0.3,0.4,.813,1.8,3.0,4.8,1.4,0.7,0.6,0.8,2.2,8.9,2024
137,Malachi Flynn,PG,25,TOT,39,0,13.1,1.6,3.8,.413,0.8,2.3,.341,0.8,1.6,.516,.513,0.5,0.7,.750,0.3,1.4,1.7,2.0,0.5,0.2,0.9,1.2,4.5,2024
137,Malachi Flynn,PG,25,TOR,31,0,15.3,1.8,4.4,.409,0.9,2.6,.350,0.9,1.8,.491,.511,0.5,0.7,.773,0.4,1.7,2.1,2.4,0.6,0.2,1.1,1.4,5.1,2024
137,Malachi Flynn,PG,25,NYK,8,0,4.4,0.8,1.6,.462,0.3,1.0,.250,0.5,0.6,.800,.538,0.5,0.8,.667,0.0,0.4,0.4,0.5,0.1,0.0,0.3,0.4,2.3,2024
138,Simone Fontecchio,SF,28,UTA,44,28,22.8,3.3,7.1,.459,1.9,4.7,.403,1.4,2.5,.565,.591,0.7,0.9,.789,1.0,2.5,3.4,1.4,0.6,0.4,1.1,1.7,9.1,2024
139,Jordan Ford,PG,25,SAC,6,0,3.7,0.7,1.2,.571,0.3,0.5,.667,0.3,0.7,.500,.714,0.3,0.3,1.000,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.0,2.0,2024
140,Trent Forrest,SG,25,ATL,18,0,10.9,0.8,2.6,.326,0.1,0.3,.333,0.7,2.2,.325,.348,0.4,0.6,.800,0.3,1.2,1.4,1.9,0.4,0.1,0.6,0.9,2.2,2024
141,Evan Fournier,SG,31,NYK,3,0,13.0,1.3,6.7,.200,0.7,5.0,.133,0.7,1.7,.400,.250,0.7,0.7,1.000,0.0,1.3,1.3,1.0,1.3,0.0,0.3,1.3,4.0,2024
142,De'Aaron Fox,PG,26,SAC,37,37,35.6,9.7,20.8,.467,3.2,8.1,.391,6.6,12.8,.515,.543,4.9,6.7,.726,0.9,3.2,4.1,5.6,1.6,0.4,2.5,2.5,27.5,2024
143,Javon Freeman-Liberty,PG,24,TOR,1,0,2.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2024
144,Alex Fudge,SF,20,LAL,4,0,3.5,0.3,1.5,.167,0.0,0.5,.000,0.3,1.0,.250,.167,0.5,0.5,1.000,0.5,0.0,0.5,0.0,0.0,0.0,0.3,0.3,1.0,2024
145,Markelle Fultz,PG,25,ORL,12,6,24.3,3.9,8.1,.485,0.0,0.3,.000,3.9,7.8,.500,.485,0.4,0.9,.455,1.3,1.8,3.0,3.7,1.2,0.4,1.3,1.8,8.3,2024
146,Daniel Gafford,C,25,WAS,39,39,26.2,4.4,6.3,.697,0.0,0.0,,4.4,6.3,.697,.697,1.9,2.6,.723,2.6,4.9,7.5,1.6,0.9,2.2,1.1,3.3,10.6,2024
147,Danilo Gallinari,PF-SF,35,TOT,28,0,14.7,2.2,4.9,.449,0.8,2.4,.333,1.4,2.5,.557,.529,1.9,2.3,.844,0.4,2.4,2.9,1.3,0.2,0.1,0.4,1.0,7.1,2024
147,Danilo Gallinari,PF,35,WAS,26,0,14.8,2.2,5.0,.435,0.8,2.5,.313,1.4,2.6,.552,.511,1.8,2.2,.839,0.5,2.5,2.9,1.2,0.2,0.1,0.5,1.0,7.0,2024
147,Danilo Gallinari,SF,35,DET,2,0,13.0,2.0,2.5,.800,1.0,1.0,1.000,1.0,1.5,.667,1.000,3.5,4.0,.875,0.0,2.0,2.0,2.5,0.0,0.0,0.0,1.0,8.5,2024
148,Darius Garland,PG,24,CLE,20,20,34.0,7.6,16.1,.470,1.8,5.2,.346,5.8,10.9,.530,.526,3.8,4.6,.835,0.6,2.2,2.8,5.9,1.6,0.2,3.8,1.6,20.7,2024
149,Usman Garuba,PF,21,GSW,2,0,3.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,2024
150,Luka Garza,C,25,MIN,9,0,2.6,0.6,1.8,.313,0.0,0.6,.000,0.6,1.2,.455,.313,0.6,0.9,.625,0.4,0.4,0.9,0.2,0.0,0.0,0.2,0.8,1.7,2024
151,Kaiser Gates,SF,27,NOP,1,0,7.0,0.0,4.0,.000,0.0,2.0,.000,0.0,2.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
152,Keyonte George,PG,20,UTA,40,16,24.5,3.3,9.1,.364,1.7,5.1,.325,1.7,4.0,.413,.455,2.5,3.1,.811,0.3,2.5,2.8,4.4,0.5,0.1,2.1,1.0,10.7,2024
153,Paul George,PF,33,LAC,40,40,34.7,8.3,17.8,.468,3.6,8.5,.419,4.8,9.3,.512,.568,3.3,3.7,.911,0.6,4.9,5.6,3.6,1.6,0.4,2.1,2.9,23.5,2024
154,Taj Gibson,PF,38,NYK,10,0,9.7,0.7,1.4,.500,0.0,0.4,.000,0.7,1.0,.700,.500,0.0,0.0,,0.6,1.2,1.8,0.5,0.1,0.6,0.2,2.0,1.4,2024
155,Josh Giddey,SG,21,OKC,43,43,24.9,4.8,10.6,.454,0.9,2.8,.336,3.9,7.8,.496,.498,1.2,1.4,.806,1.4,4.8,6.3,4.6,0.7,0.4,2.1,1.3,11.7,2024
156,Harry Giles,C,25,BRK,12,0,5.6,1.5,3.0,.500,0.1,0.7,.125,1.4,2.3,.607,.514,0.5,0.9,.545,0.8,0.8,1.6,0.3,0.1,0.3,0.3,0.8,3.6,2024
157,Shai Gilgeous-Alexander,PG,25,OKC,43,43,34.4,11.0,20.0,.546,1.1,3.4,.329,9.8,16.7,.591,.574,8.1,9.1,.890,0.9,4.7,5.6,6.4,2.3,0.8,2.1,2.6,31.1,2024
158,Anthony Gill,PF,31,WAS,26,0,5.7,0.8,1.7,.489,0.1,0.4,.182,0.8,1.3,.588,.511,0.5,0.6,.750,0.5,0.8,1.3,0.4,0.1,0.2,0.4,0.5,2.2,2024
159,Collin Gillespie,PG,24,DEN,14,0,6.9,0.8,1.7,.458,0.3,0.9,.308,0.5,0.8,.636,.542,0.3,0.4,.800,0.1,0.3,0.4,0.6,0.4,0.0,0.4,0.9,2.1,2024
160,Jacob Gilyard,PG,25,MEM,27,10,16.6,1.4,3.4,.402,1.1,2.8,.413,0.2,0.6,.353,.571,0.0,0.0,1.000,0.3,0.8,1.0,3.3,0.6,0.1,0.6,0.9,3.9,2024
161,Rudy Gobert,C,31,MIN,44,44,33.0,5.0,8.0,.629,0.0,0.0,.000,5.0,7.9,.632,.629,3.3,5.1,.636,3.5,9.0,12.5,1.2,0.6,2.1,1.6,2.9,13.3,2024
162,Jordan Goodwin,PG,25,PHO,36,0,15.2,2.0,5.2,.380,0.6,2.2,.288,1.3,3.0,.449,.441,0.6,0.8,.852,1.1,2.1,3.2,2.1,0.6,0.2,0.8,1.2,5.2,2024
163,Aaron Gordon,PF,28,DEN,40,40,32.1,5.4,10.0,.541,0.5,1.8,.278,4.9,8.2,.599,.566,2.2,3.6,.627,2.6,4.0,6.6,3.1,0.8,0.6,1.3,1.8,13.5,2024
164,Eric Gordon,SG,35,PHO,36,19,30.4,4.6,10.4,.443,2.5,6.6,.376,2.1,3.8,.558,.561,0.8,1.0,.778,0.3,1.8,2.1,2.3,0.9,0.5,1.3,1.3,12.5,2024
165,Devonte' Graham,PG,28,SAS,10,0,8.8,1.1,2.8,.393,0.7,2.0,.350,0.4,0.8,.500,.518,0.6,0.8,.750,0.2,1.1,1.3,1.9,0.3,0.1,0.3,0.4,3.5,2024
166,Jerami Grant,PF,29,POR,39,39,34.0,7.5,16.3,.461,2.2,5.4,.412,5.3,10.8,.485,.529,4.4,5.5,.798,0.7,3.0,3.6,2.6,0.7,0.8,2.0,2.2,21.6,2024
167,A.J. Green,SG,24,MIL,27,0,7.6,1.1,2.6,.429,0.9,2.2,.417,0.2,0.4,.500,.607,0.1,0.1,1.000,0.2,0.6,0.8,0.6,0.0,0.0,0.0,0.9,3.3,2024
168,Danny Green,SG,36,PHI,2,0,9.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,2024
169,Draymond Green,PF,33,GSW,18,15,25.3,3.2,6.5,.496,1.2,2.6,.447,2.1,3.9,.529,.585,1.8,2.2,.800,1.3,4.2,5.5,5.8,0.7,0.7,2.4,3.1,9.4,2024
170,Jalen Green,SG,21,HOU,43,43,30.5,5.9,14.7,.401,2.0,6.4,.319,3.9,8.3,.465,.471,3.5,4.4,.795,0.4,4.1,4.5,3.2,0.6,0.3,2.2,1.3,17.4,2024
171,Jeff Green,PF,37,HOU,41,2,16.9,2.1,4.1,.521,0.4,1.3,.308,1.8,2.9,.615,.568,1.8,2.2,.824,0.7,1.5,2.1,0.8,0.2,0.5,0.7,1.5,6.5,2024
172,Josh Green,SG,23,DAL,31,14,26.1,2.9,6.3,.459,1.2,3.2,.380,1.6,3.0,.543,.557,0.6,1.0,.563,0.6,2.5,3.1,2.5,0.7,0.2,1.0,1.8,7.5,2024
173,AJ Griffin,SF,20,ATL,17,0,7.7,0.8,2.6,.295,0.5,1.9,.273,0.2,0.6,.364,.398,0.1,0.1,1.000,0.1,0.6,0.8,0.2,0.1,0.1,0.4,0.4,2.2,2024
174,Quentin Grimes,SG,23,NYK,42,18,19.8,2.5,6.2,.398,1.7,4.6,.369,0.7,1.5,.484,.537,0.4,0.6,.750,0.3,1.5,1.8,1.1,0.7,0.1,0.5,1.5,7.0,2024
175,Mouhamed Gueye,PF,21,ATL,2,0,2.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,2024
176,Rui Hachimura,PF,25,LAL,32,7,23.0,4.2,8.8,.480,1.1,2.9,.372,3.1,5.8,.535,.543,1.6,2.0,.769,0.8,2.7,3.4,1.1,0.8,0.3,0.8,1.4,11.1,2024
177,Tyrese Haliburton,PG,23,IND,34,34,33.4,8.4,16.9,.496,3.4,8.4,.400,5.0,8.5,.590,.595,3.5,4.1,.862,0.6,3.5,4.1,12.6,1.1,0.6,2.5,1.1,23.6,2024
178,R.J. Hampton,PG,22,MIA,8,2,9.5,0.5,1.8,.286,0.1,1.0,.125,0.4,0.8,.500,.321,0.1,0.3,.500,0.3,0.5,0.8,1.0,0.0,0.0,0.4,1.0,1.3,2024
179,Tim Hardaway Jr.,SF,31,DAL,41,8,29.8,6.2,14.7,.421,3.3,8.9,.367,2.9,5.8,.504,.532,2.5,2.8,.871,0.3,3.3,3.6,1.7,0.5,0.0,1.0,1.5,18.1,2024
180,James Harden,PG,34,LAC,37,37,34.2,5.1,11.3,.456,2.8,6.5,.423,2.4,4.8,.500,.578,4.3,4.9,.873,0.3,4.2,4.5,8.5,1.2,0.9,2.6,2.1,17.3,2024
181,Jaden Hardy,SG,21,DAL,39,4,15.5,2.8,7.4,.381,1.3,3.8,.351,1.5,3.6,.411,.471,0.7,1.1,.683,0.3,1.8,2.1,1.6,0.3,0.1,0.7,1.2,7.7,2024
182,Ron Harper Jr.,PF,23,TOR,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2024
183,Gary Harris,SG,29,ORL,27,6,22.8,2.4,5.7,.429,1.3,4.0,.333,1.1,1.7,.652,.545,0.9,1.1,.774,0.5,1.2,1.7,1.9,0.9,0.2,0.5,1.7,7.1,2024
184,Joe Harris,SG,32,DET,15,0,10.5,0.9,2.4,.361,0.7,1.9,.345,0.2,0.5,.429,.500,0.1,0.1,.500,0.2,0.7,0.9,0.7,0.2,0.1,0.3,1.2,2.5,2024
185,Kevon Harris,SG,26,ORL,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2024
186,Tobias Harris,PF,31,PHI,41,41,34.1,6.7,13.1,.509,1.2,3.5,.359,5.4,9.6,.563,.557,3.1,3.5,.902,1.0,5.0,6.0,3.2,1.0,0.5,1.5,1.7,17.7,2024
187,Shaquille Harrison,SG,30,MEM,3,0,2.0,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.3,0.0,0.0,0.7,2024
188,Josh Hart,SF,28,NYK,44,6,28.1,2.8,6.5,.435,0.9,2.8,.314,2.0,3.7,.524,.502,0.7,0.8,.806,1.2,5.2,6.5,2.7,0.8,0.3,1.2,1.9,7.2,2024
189,Isaiah Hartenstein,C,25,NYK,43,17,25.6,2.6,4.3,.605,0.0,0.1,.333,2.6,4.2,.610,.608,1.4,2.0,.694,3.3,5.2,8.5,2.0,1.2,1.1,1.2,2.9,6.6,2024
190,Sam Hauser,SF,26,BOS,44,5,21.5,2.8,6.3,.441,2.2,5.4,.406,0.6,0.9,.650,.615,0.3,0.3,.846,0.7,2.9,3.6,1.0,0.4,0.3,0.5,1.3,8.0,2024
191,Jordan Hawkins,SG,21,NOP,39,10,21.8,3.6,8.7,.415,2.2,5.7,.394,1.4,3.1,.454,.543,1.4,1.7,.836,0.6,2.2,2.8,1.4,0.4,0.1,0.8,1.5,10.9,2024
192,Jaxson Hayes,C,23,LAL,36,1,9.5,1.2,1.8,.662,0.0,0.1,.000,1.2,1.7,.717,.662,0.4,0.8,.536,0.4,1.2,1.7,0.3,0.2,0.3,0.5,1.8,2.8,2024
193,Killian Hayes,PG,22,DET,39,29,24.5,2.9,7.0,.412,0.5,1.8,.286,2.4,5.2,.455,.449,0.8,1.3,.660,0.3,2.6,2.8,4.9,0.9,0.5,1.2,1.8,7.1,2024
194,Gordon Hayward,SF,33,CHO,25,25,31.9,5.6,11.9,.468,0.9,2.4,.361,4.7,9.4,.496,.505,2.5,3.2,.765,1.0,3.7,4.7,4.6,1.1,0.5,2.0,1.8,14.5,2024
195,Scoot Henderson,PG,19,POR,35,15,27.2,4.5,12.2,.364,1.2,4.0,.291,3.3,8.2,.401,.412,2.3,3.0,.762,0.9,2.1,3.0,4.7,0.6,0.2,3.2,3.1,12.4,2024
196,Taylor Hendricks,PF,20,UTA,13,0,13.9,1.8,4.5,.397,0.9,2.7,.343,0.8,1.8,.478,.500,0.5,0.6,.750,0.8,1.4,2.2,0.5,0.7,0.5,0.7,0.9,4.9,2024
197,Tyler Herro,SG,24,MIA,26,26,34.0,8.2,18.5,.440,3.3,8.2,.404,4.8,10.3,.468,.529,2.2,2.5,.848,0.6,4.9,5.5,4.2,1.1,0.1,2.5,1.5,21.8,2024
198,Buddy Hield,SF,31,IND,45,24,26.1,4.6,10.3,.447,2.8,7.2,.392,1.8,3.1,.574,.584,0.6,0.7,.848,0.7,2.6,3.2,2.6,0.8,0.6,1.3,2.0,12.7,2024
199,Haywood Highsmith,PF,27,MIA,31,19,21.5,2.2,5.1,.430,1.2,3.0,.398,1.0,2.1,.477,.547,0.6,0.7,.783,0.8,2.1,2.9,1.2,1.0,0.5,0.7,2.0,6.2,2024
200,Nate Hinton,SG,24,HOU,5,0,5.2,0.8,1.8,.444,0.8,1.0,.800,0.0,0.8,.000,.667,0.0,0.0,,0.4,0.6,1.0,0.2,0.0,0.0,0.2,1.0,2.4,2024
201,D'Moi Hodge,SG,25,LAL,7,0,5.9,0.7,2.1,.333,0.4,1.7,.250,0.3,0.4,.667,.433,0.1,0.3,.500,0.0,0.0,0.0,0.7,0.1,0.1,0.1,0.6,2.0,2024
202,Aaron Holiday,PG,27,HOU,41,1,17.1,2.3,5.3,.444,1.2,2.9,.403,1.2,2.4,.495,.556,0.8,0.8,.912,0.2,1.6,1.9,1.6,0.6,0.1,0.7,1.5,6.6,2024
203,Jrue Holiday,PG,33,BOS,41,41,33.7,5.0,10.9,.463,2.1,4.9,.425,3.0,6.0,.494,.558,1.1,1.4,.821,1.4,4.8,6.2,4.6,0.8,0.8,1.9,1.6,13.3,2024
204,Justin Holiday,SG,34,DEN,26,6,13.0,1.3,2.7,.493,0.8,1.9,.429,0.5,0.8,.636,.641,0.0,0.0,,0.2,1.0,1.2,1.0,0.6,0.0,0.2,1.2,3.5,2024
205,Richaun Holmes,C,30,DAL,18,1,9.8,1.4,2.7,.521,0.0,0.0,,1.4,2.7,.521,.521,0.5,1.0,.500,1.6,1.9,3.5,0.5,0.1,0.3,0.6,1.2,3.3,2024
206,Chet Holmgren,C,21,OKC,44,44,30.2,6.4,11.9,.541,1.6,4.1,.385,4.8,7.8,.625,.608,2.6,3.4,.779,1.5,5.8,7.3,2.8,0.6,2.6,1.7,2.7,17.1,2024
207,Jalen Hood-Schifino,SG,20,LAL,12,0,7.1,0.7,2.8,.242,0.1,0.8,.111,0.6,2.0,.292,.258,0.6,1.0,.583,0.2,0.7,0.8,0.6,0.3,0.1,0.7,0.8,2.0,2024
208,Al Horford,C,37,BOS,37,17,27.1,2.9,5.9,.495,1.6,3.9,.421,1.3,2.0,.640,.634,0.3,0.4,.857,1.4,5.5,6.9,2.9,0.5,1.0,0.8,1.6,7.9,2024
209,Talen Horton-Tucker,PG,23,UTA,31,11,21.5,4.0,9.9,.408,1.2,3.6,.327,2.8,6.2,.456,.469,1.7,2.1,.800,0.4,2.2,2.5,4.1,1.1,0.4,1.6,2.0,10.9,2024
210,Danuel House Jr.,SF,30,PHI,28,0,13.8,1.3,2.9,.457,0.5,1.4,.359,0.8,1.5,.548,.543,0.9,1.2,.706,0.4,1.1,1.5,0.8,0.4,0.1,0.6,1.1,4.0,2024
211,Caleb Houstan,SF,21,ORL,35,7,16.0,1.6,4.2,.378,1.4,3.9,.355,0.2,0.3,.700,.544,0.5,0.6,.773,0.6,1.1,1.7,0.7,0.3,0.0,0.4,1.3,5.1,2024
212,Jett Howard,SF,20,ORL,11,0,3.8,0.6,1.7,.368,0.4,1.3,.286,0.3,0.5,.600,.474,0.2,0.4,.500,0.1,0.4,0.5,0.3,0.0,0.1,0.2,0.1,1.8,2024
213,Kevin Huerter,SG,25,SAC,41,36,24.1,3.9,8.9,.440,2.0,5.5,.360,1.9,3.4,.568,.551,0.7,0.9,.778,0.5,3.2,3.8,2.6,0.7,0.3,0.6,2.2,10.5,2024
214,Jay Huff,C,25,DEN,6,0,2.8,0.5,1.0,.500,0.2,0.7,.250,0.3,0.3,1.000,.583,0.0,0.0,,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.8,1.2,2024
215,De'Andre Hunter,SF,26,ATL,24,24,30.3,5.1,11.0,.460,1.9,4.8,.404,3.2,6.3,.503,.547,2.8,3.1,.907,0.6,3.5,4.1,1.4,0.8,0.4,1.5,3.0,14.9,2024
216,Bones Hyland,PG,23,LAC,16,2,14.6,2.6,6.7,.393,1.3,3.4,.364,1.4,3.3,.423,.486,0.6,0.8,.833,0.1,0.8,0.9,1.8,0.5,0.1,1.3,1.4,7.1,2024
217,Joe Ingles,SF,36,ORL,30,0,18.4,1.7,4.1,.411,1.1,2.6,.410,0.6,1.5,.413,.540,0.6,0.7,.850,0.5,2.2,2.6,3.4,0.8,0.1,1.0,1.6,5.0,2024
218,Brandon Ingram,SF,26,NOP,40,40,33.1,7.9,16.3,.487,1.4,3.9,.353,6.6,12.4,.529,.529,4.2,5.1,.814,0.6,4.2,4.8,5.7,0.8,0.4,2.4,2.2,21.4,2024
219,Kyrie Irving,SG,31,DAL,27,27,33.3,9.3,19.6,.472,2.9,7.0,.411,6.4,12.6,.506,.545,3.8,4.2,.895,0.8,4.3,5.1,5.3,1.3,0.4,1.6,1.9,25.2,2024
220,Jonathan Isaac,PF,26,ORL,26,0,13.5,2.2,4.7,.455,0.6,2.0,.283,1.6,2.7,.586,.516,1.3,1.6,.786,1.1,2.8,3.9,0.4,0.8,1.1,0.5,1.2,6.2,2024
221,Jaden Ivey,SG,21,DET,40,24,26.5,5.0,11.1,.451,1.3,4.0,.317,3.7,7.1,.528,.509,3.0,4.1,.732,1.3,2.4,3.7,3.7,0.8,0.6,2.3,2.8,14.3,2024
222,Andre Jackson Jr.,SG,22,MIL,38,8,11.4,1.1,2.0,.545,0.3,0.9,.371,0.8,1.1,.690,.630,0.2,0.2,.889,0.9,1.3,2.2,0.9,0.3,0.1,0.5,1.9,2.8,2024
223,Gregory Jackson II,PF,19,MEM,12,0,13.5,2.4,5.0,.483,1.3,2.7,.500,1.1,2.3,.464,.617,1.3,1.9,.696,0.8,2.0,2.8,0.5,0.3,0.5,0.6,1.1,7.5,2024
224,Isaiah Jackson,C,22,IND,35,1,13.4,2.7,4.1,.664,0.0,0.1,.000,2.7,4.0,.674,.664,1.3,1.8,.688,1.4,2.6,4.0,0.9,0.6,1.2,0.7,2.7,6.7,2024
225,Jaren Jackson Jr.,C,24,MEM,42,42,31.6,7.4,16.4,.451,1.8,5.5,.328,5.6,11.0,.512,.505,5.0,6.1,.831,1.3,4.4,5.6,1.9,1.0,1.6,2.1,3.5,21.6,2024
