Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
118,Dorian Finney-Smith,PF,30,BRK,11,10,30.4,4.4,9.4,.466,3.0,6.8,.440,1.4,2.5,.536,.626,0.1,0.3,.333,2.0,3.3,5.3,1.4,0.3,0.7,0.9,2.5,11.8,2024
119,Malachi Flynn,PG,25,TOR,11,0,16.4,2.0,4.7,.423,1.0,2.9,.344,1.0,1.8,.550,.529,0.6,0.7,.875,0.5,1.4,1.8,2.2,0.8,0.1,1.1,1.4,5.6,2024
120,Simone Fontecchio,SF,28,UTA,9,0,10.7,1.8,3.8,.471,1.0,2.6,.391,0.8,1.2,.636,.603,0.0,0.0,,0.7,1.2,1.9,0.4,0.2,0.2,0.9,0.9,4.6,2024
121,Jordan Ford,PG,25,SAC,4,0,3.0,0.5,1.3,.400,0.3,0.5,.500,0.3,0.8,.333,.500,0.5,0.5,1.000,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,1.8,2024
122,Trent Forrest,SG,25,ATL,2,0,9.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,1.0,1.0,1.000,0.5,0.0,0.5,2.5,0.0,0.0,0.0,0.5,1.0,2024
123,De'Aaron Fox,PG,26,SAC,5,5,36.2,11.0,22.4,.491,2.8,7.8,.359,8.2,14.6,.562,.554,5.2,7.0,.743,1.4,2.6,4.0,5.8,1.8,0.4,2.4,3.4,30.0,2024
124,Alex Fudge,SF,20,LAL,1,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
125,Markelle Fultz,PG,25,ORL,5,5,28.6,5.4,11.2,.482,0.0,0.6,.000,5.4,10.6,.509,.482,0.6,0.8,.750,1.6,1.8,3.4,4.0,1.2,0.4,1.2,1.2,11.4,2024
126,Daniel Gafford,C,25,WAS,9,9,23.1,3.4,4.4,.775,0.0,0.0,,3.4,4.4,.775,.775,1.6,2.6,.609,2.3,4.9,7.2,1.2,0.6,2.2,1.4,3.2,8.4,2024
127,Danilo Gallinari,PF,35,WAS,10,0,14.8,3.0,5.7,.526,0.8,2.4,.333,2.2,3.3,.667,.596,2.0,2.5,.800,0.7,2.1,2.8,1.6,0.3,0.1,0.6,0.7,8.8,2024
128,Darius Garland,PG,24,CLE,6,6,33.3,5.8,13.0,.449,1.3,4.7,.286,4.5,8.3,.540,.500,4.2,5.0,.833,0.7,2.2,2.8,6.2,1.8,0.3,4.8,2.2,17.2,2024
129,Luka Garza,C,25,MIN,3,0,3.7,1.3,3.0,.444,0.0,0.3,.000,1.3,2.7,.500,.444,1.3,2.0,.667,1.0,0.7,1.7,0.0,0.0,0.0,0.0,1.0,4.0,2024
130,Kaiser Gates,SF,27,NOP,1,0,7.0,0.0,4.0,.000,0.0,2.0,.000,0.0,2.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
131,Keyonte George,PG,20,UTA,11,3,23.0,2.7,7.1,.385,1.3,4.2,.304,1.5,2.9,.500,.474,1.3,1.5,.824,0.4,2.1,2.5,4.8,0.4,0.2,1.7,1.0,8.0,2024
132,Paul George,PF,33,LAC,10,10,34.1,8.0,16.9,.473,3.2,8.2,.390,4.8,8.7,.552,.568,5.5,5.9,.932,0.5,5.0,5.5,3.6,2.4,0.1,3.0,2.8,24.7,2024
133,Josh Giddey,SG,21,OKC,11,11,28.0,5.5,12.8,.433,0.4,1.9,.190,5.2,10.9,.475,.447,1.1,1.4,.800,1.3,4.5,5.8,5.3,0.6,0.6,3.0,1.0,12.5,2024
134,Harry Giles,C,25,BRK,1,0,6.0,3.0,3.0,1.000,1.0,1.0,1.000,2.0,2.0,1.000,1.167,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,7.0,2024
135,Shai Gilgeous-Alexander,PG,25,OKC,10,10,34.9,11.1,20.8,.534,1.2,3.9,.308,9.9,16.9,.586,.563,5.9,6.5,.908,0.7,6.2,6.9,5.9,2.6,0.7,2.3,2.2,29.3,2024
136,Anthony Gill,PF,31,WAS,6,0,6.8,1.0,2.2,.462,0.0,0.2,.000,1.0,2.0,.500,.462,1.0,1.3,.750,0.5,0.8,1.3,0.5,0.3,0.5,0.8,0.7,3.0,2024
137,Collin Gillespie,PG,24,DEN,6,0,11.8,1.3,3.0,.444,0.5,1.8,.273,0.8,1.2,.714,.528,0.2,0.2,1.000,0.0,0.5,0.5,1.2,0.8,0.0,0.3,1.5,3.3,2024
138,Jacob Gilyard,PG,25,MEM,8,3,17.3,1.6,3.4,.481,1.5,3.1,.480,0.1,0.3,.500,.704,0.0,0.0,,0.5,1.4,1.9,3.4,0.9,0.1,0.6,1.1,4.8,2024
139,Rudy Gobert,C,31,MIN,11,11,32.4,4.0,7.8,.512,0.0,0.0,,4.0,7.8,.512,.512,3.2,5.5,.583,4.2,8.2,12.4,1.4,0.7,2.3,1.7,2.7,11.2,2024
140,Jordan Goodwin,PG,25,PHO,11,0,18.1,2.3,6.7,.338,1.3,3.5,.359,1.0,3.2,.314,.432,0.9,1.2,.769,1.0,2.8,3.8,2.0,1.0,0.5,0.9,1.3,6.7,2024
141,Aaron Gordon,PF,28,DEN,11,11,32.5,6.0,10.6,.564,0.6,2.0,.318,5.4,8.6,.621,.594,1.6,2.8,.581,2.2,4.8,7.0,4.0,1.2,1.1,2.1,1.8,14.3,2024
142,Eric Gordon,SG,35,PHO,10,6,29.5,5.6,12.1,.463,2.2,6.2,.355,3.4,5.9,.576,.554,0.3,0.3,1.000,0.5,1.6,2.1,3.0,0.9,0.4,1.4,1.1,13.7,2024
143,Devonte' Graham,PG,28,SAS,2,0,14.5,0.5,2.5,.200,0.0,1.5,.000,0.5,1.0,.500,.200,2.0,2.5,.800,0.5,0.5,1.0,4.0,1.0,0.5,1.0,1.0,3.0,2024
144,Jerami Grant,PF,29,POR,11,11,36.1,7.7,17.9,.431,2.3,6.5,.352,5.5,11.5,.476,.495,4.8,6.2,.779,0.9,3.5,4.5,1.8,0.5,0.9,2.7,2.5,22.5,2024
145,A.J. Green,SG,24,MIL,5,0,8.6,0.8,2.2,.364,0.6,1.8,.333,0.2,0.4,.500,.500,0.2,0.2,1.000,0.0,0.8,0.8,1.2,0.0,0.0,0.0,0.8,2.4,2024
146,Danny Green,SG,36,PHI,2,0,9.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,2024
147,Draymond Green,PF,33,GSW,9,9,22.2,3.0,6.2,.482,1.0,2.2,.450,2.0,4.0,.500,.563,1.8,2.0,.889,1.4,3.7,5.1,5.7,0.7,0.6,1.8,2.4,8.8,2024
148,Jalen Green,SG,21,HOU,9,9,32.1,6.0,14.6,.412,2.0,5.0,.400,4.0,9.6,.419,.481,5.0,6.4,.776,0.4,4.2,4.7,2.7,0.7,0.3,2.1,1.6,19.0,2024
149,Jeff Green,PF,37,HOU,9,0,15.3,2.4,4.0,.611,0.4,1.2,.364,2.0,2.8,.720,.667,1.9,2.7,.708,1.2,2.0,3.2,0.4,0.2,0.2,0.6,1.1,7.2,2024
150,Josh Green,SG,23,DAL,12,3,26.3,2.4,6.0,.403,1.3,3.7,.341,1.2,2.3,.500,.507,0.6,1.2,.500,0.6,2.0,2.6,2.2,1.0,0.2,1.0,1.8,6.7,2024
151,AJ Griffin,SF,20,ATL,7,0,9.1,1.1,2.4,.471,0.9,2.0,.429,0.3,0.4,.667,.647,0.3,0.3,1.000,0.1,0.6,0.7,0.3,0.1,0.0,0.6,0.6,3.4,2024
152,Quentin Grimes,SG,23,NYK,11,11,24.7,2.9,6.8,.427,2.3,5.7,.397,0.6,1.1,.583,.593,0.0,0.1,.000,0.1,1.3,1.4,1.1,0.7,0.0,0.6,1.7,8.1,2024
153,Mouhamed Gueye,PF,21,ATL,2,0,2.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,2024
154,Rui Hachimura,PF,25,LAL,8,1,20.6,4.6,8.0,.578,1.4,2.8,.500,3.3,5.3,.619,.664,2.1,2.8,.773,0.8,2.8,3.5,0.8,1.1,0.4,1.0,1.4,12.8,2024
155,Tyrese Haliburton,PG,23,IND,10,10,33.7,8.6,16.3,.528,3.4,7.8,.436,5.2,8.5,.612,.632,4.1,4.4,.932,0.5,3.7,4.2,12.5,1.1,0.7,2.1,1.1,24.7,2024
156,R.J. Hampton,PG,22,MIA,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
157,Tim Hardaway Jr.,SF,31,DAL,12,0,27.8,6.3,14.2,.441,3.8,9.3,.402,2.5,4.8,.517,.574,2.4,2.7,.906,0.3,3.6,3.9,1.7,0.3,0.0,1.0,0.8,18.7,2024
158,James Harden,SG,34,LAC,5,5,32.2,4.8,10.2,.471,2.0,5.4,.370,2.8,4.8,.583,.569,3.4,3.4,1.000,0.4,4.0,4.4,4.2,1.2,0.2,2.2,1.0,15.0,2024
159,Jaden Hardy,SG,21,DAL,10,0,11.8,2.6,6.3,.413,0.9,2.9,.310,1.7,3.4,.500,.484,1.4,1.9,.737,0.2,1.4,1.6,1.3,0.3,0.0,0.6,0.9,7.5,2024
160,Gary Harris,SG,29,ORL,6,1,18.3,2.8,5.0,.567,1.7,3.5,.476,1.2,1.5,.778,.733,0.3,0.8,.400,0.7,1.2,1.8,1.2,0.5,0.3,0.7,0.3,7.7,2024
161,Joe Harris,SG,32,DET,7,0,14.0,1.3,3.6,.360,0.9,2.7,.316,0.4,0.9,.500,.480,0.0,0.0,,0.3,0.7,1.0,0.9,0.3,0.0,0.4,1.7,3.4,2024
162,Tobias Harris,PF,31,PHI,11,11,36.5,7.5,13.1,.569,1.1,3.0,.364,6.4,10.1,.631,.611,3.5,4.0,.886,1.0,5.6,6.6,2.8,0.8,0.5,2.0,1.7,19.5,2024
163,Josh Hart,SF,28,NYK,11,4,28.9,2.9,7.4,.395,1.0,3.5,.289,1.9,3.9,.488,.463,0.5,0.6,.714,1.2,5.5,6.6,2.7,0.8,0.2,1.1,2.2,7.3,2024
164,Isaiah Hartenstein,C,25,NYK,11,0,16.9,2.8,4.7,.596,0.1,0.3,.333,2.7,4.5,.612,.606,1.1,1.7,.632,2.5,1.9,4.4,1.0,1.2,0.4,0.8,2.8,6.8,2024
165,Sam Hauser,SF,26,BOS,11,1,20.9,3.2,6.6,.479,2.7,6.1,.448,0.5,0.5,.833,.685,0.4,0.4,1.000,0.5,2.6,3.2,0.5,0.5,0.5,0.4,1.7,9.5,2024
166,Jordan Hawkins,SG,21,NOP,11,7,29.4,4.5,11.8,.377,2.9,8.1,.360,1.5,3.7,.415,.500,1.9,2.3,.840,0.8,3.2,4.0,1.7,0.7,0.0,1.2,2.3,13.7,2024
167,Jaxson Hayes,C,23,LAL,10,0,10.1,0.9,1.5,.600,0.0,0.0,,0.9,1.5,.600,.600,0.9,1.4,.643,0.3,1.0,1.3,0.4,0.3,0.5,0.8,2.1,2.7,2024
168,Killian Hayes,PG,22,DET,12,12,29.8,4.0,10.0,.400,1.2,3.6,.326,2.8,6.4,.442,.458,1.5,2.0,.750,0.3,2.9,3.3,4.8,1.3,0.6,0.9,2.4,10.7,2024
169,Gordon Hayward,SF,33,CHO,9,9,32.7,6.7,14.2,.469,1.0,2.6,.391,5.7,11.7,.486,.504,2.9,4.1,.703,1.1,4.1,5.2,5.2,1.7,0.7,1.9,2.0,17.2,2024
170,Scoot Henderson,PG,19,POR,5,5,28.4,3.6,10.4,.346,0.4,4.2,.095,3.2,6.2,.516,.365,1.2,1.4,.857,0.6,1.6,2.2,4.6,0.6,0.2,4.0,4.0,8.8,2024
171,Taylor Hendricks,PF,20,UTA,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,.500,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2024
172,Tyler Herro,SG,24,MIA,8,8,34.0,8.5,19.0,.447,3.1,7.6,.410,5.4,11.4,.473,.530,2.8,3.1,.880,0.4,4.6,5.0,4.6,1.4,0.0,2.5,1.6,22.9,2024
173,Buddy Hield,SF,31,IND,11,0,23.5,4.5,11.1,.410,2.9,7.8,.372,1.6,3.3,.500,.541,0.1,0.2,.500,0.6,2.6,3.3,2.8,0.6,0.6,1.8,1.4,12.1,2024
174,Haywood Highsmith,PF,27,MIA,7,6,26.6,3.0,6.7,.447,1.4,4.1,.345,1.6,2.6,.611,.553,1.0,1.3,.778,0.7,2.3,3.0,1.6,1.4,1.1,0.6,1.9,8.4,2024
175,Nate Hinton,SG,24,HOU,2,0,4.0,1.0,2.0,.500,1.0,1.0,1.000,0.0,1.0,.000,.750,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,2024
176,D'Moi Hodge,SG,25,LAL,3,0,5.3,0.3,1.7,.200,0.0,1.3,.000,0.3,0.3,1.000,.200,0.3,0.7,.500,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.7,1.0,2024
177,Aaron Holiday,PG,27,HOU,7,0,15.7,2.0,4.9,.412,0.7,2.1,.333,1.3,2.7,.474,.485,0.4,0.4,1.000,0.1,1.4,1.6,1.3,0.3,0.0,0.6,1.0,5.1,2024
178,Jrue Holiday,PG,33,BOS,11,11,34.1,5.3,11.7,.450,1.6,4.8,.340,3.6,6.9,.526,.519,1.2,1.5,.813,2.0,5.5,7.5,5.3,0.6,1.1,1.8,1.5,13.4,2024
179,Justin Holiday,SG,34,DEN,4,0,4.8,0.5,1.0,.500,0.5,1.0,.500,0.0,0.0,,.750,0.0,0.0,,0.0,1.0,1.0,0.3,0.0,0.0,0.0,0.3,1.5,2024
180,Richaun Holmes,C,30,DAL,4,0,6.3,1.3,2.5,.500,0.0,0.0,,1.3,2.5,.500,.500,0.0,0.0,,1.3,1.5,2.8,0.3,0.0,0.0,0.8,1.3,2.5,2024
181,Chet Holmgren,C,21,OKC,11,11,30.0,5.4,10.2,.527,1.7,3.7,.463,3.6,6.5,.563,.612,3.3,3.6,.900,1.5,6.1,7.5,2.6,1.0,2.2,2.0,3.2,15.7,2024
182,Al Horford,C,37,BOS,10,3,24.4,2.3,5.6,.411,1.0,3.4,.294,1.3,2.2,.591,.500,0.2,0.2,1.000,1.8,4.4,6.2,2.2,0.5,1.0,1.1,1.6,5.8,2024
183,Talen Horton-Tucker,PG,23,UTA,11,8,23.2,3.8,9.5,.400,1.2,3.5,.342,2.6,6.1,.433,.462,0.6,0.8,.778,0.6,2.5,3.2,5.0,1.0,0.5,2.3,2.2,9.5,2024
184,Danuel House Jr.,SF,30,PHI,6,0,11.0,0.7,1.5,.444,0.2,0.8,.200,0.5,0.7,.750,.500,0.3,0.5,.667,0.2,0.8,1.0,0.3,0.2,0.2,1.0,0.7,1.8,2024
185,Caleb Houstan,SF,21,ORL,5,0,6.0,1.0,2.0,.500,0.8,1.8,.444,0.2,0.2,1.000,.700,0.2,0.2,1.000,0.0,0.6,0.6,0.2,0.0,0.0,0.0,0.4,3.0,2024
186,Jett Howard,SF,20,ORL,4,0,4.0,0.3,2.0,.125,0.0,1.5,.000,0.3,0.5,.500,.125,0.0,0.0,,0.3,0.3,0.5,0.3,0.0,0.0,0.0,0.0,0.5,2024
187,Kevin Huerter,SG,25,SAC,10,10,28.3,5.1,11.4,.447,2.8,7.2,.389,2.3,4.2,.548,.570,1.0,1.2,.833,0.7,4.3,5.0,3.0,1.0,0.4,1.1,2.4,14.0,2024
188,De'Andre Hunter,SF,26,ATL,11,11,30.5,4.5,10.5,.435,1.6,4.8,.340,2.9,5.6,.516,.513,2.5,3.1,.794,0.6,3.3,3.9,1.6,0.9,0.4,1.5,3.3,13.2,2024
189,Bones Hyland,PG,23,LAC,8,2,23.5,4.4,10.0,.438,1.9,5.3,.357,2.5,4.8,.526,.531,1.1,1.3,.900,0.3,1.4,1.6,2.9,0.8,0.0,2.0,2.6,11.8,2024
190,Joe Ingles,SF,36,ORL,11,0,18.9,1.1,3.5,.316,0.8,2.5,.333,0.3,1.0,.273,.434,0.4,0.5,.800,0.5,2.0,2.5,2.9,0.8,0.2,0.7,1.4,3.4,2024
191,Brandon Ingram,SF,26,NOP,8,8,34.0,9.5,19.1,.497,1.0,4.8,.211,8.5,14.4,.591,.523,2.9,3.9,.742,0.6,5.1,5.8,5.0,0.6,0.3,3.1,1.8,22.9,2024
192,Kyrie Irving,SG,31,DAL,9,9,32.8,8.2,17.9,.460,2.8,6.9,.403,5.4,11.0,.495,.537,3.1,3.7,.848,0.8,3.3,4.1,6.7,1.2,0.4,1.7,1.8,22.3,2024
193,Jonathan Isaac,PF,26,ORL,9,0,13.2,1.6,4.9,.318,0.7,2.8,.240,0.9,2.1,.421,.386,1.3,1.7,.800,0.8,3.0,3.8,0.3,1.0,1.4,0.7,1.4,5.1,2024
194,Jaden Ivey,SG,21,DET,8,0,19.6,4.0,8.0,.500,1.3,3.3,.385,2.8,4.8,.579,.578,1.8,2.3,.778,0.9,1.6,2.5,2.8,0.8,0.4,1.8,2.6,11.0,2024
195,Andre Jackson Jr.,SG,22,MIL,7,1,9.3,0.7,1.4,.500,0.1,0.7,.200,0.6,0.7,.800,.550,0.0,0.0,,0.9,1.0,1.9,0.7,0.4,0.0,0.7,2.0,1.6,2024
196,Gregory Jackson II,PF,19,MEM,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
197,Isaiah Jackson,C,22,IND,5,0,14.6,2.0,3.6,.556,0.0,0.0,,2.0,3.6,.556,.556,1.6,2.6,.615,1.8,2.6,4.4,0.8,0.2,1.8,0.4,3.0,5.6,2024
198,Jaren Jackson Jr.,C,24,MEM,11,11,30.7,6.7,15.3,.440,1.6,5.1,.321,5.1,10.2,.500,.494,4.3,5.2,.825,1.7,4.4,6.1,2.3,0.4,1.7,1.8,3.2,19.4,2024
199,Reggie Jackson,PG,33,DEN,11,4,24.0,4.3,9.3,.461,1.4,3.8,.357,2.9,5.5,.533,.534,0.8,1.4,.600,0.1,1.8,1.9,3.6,0.8,0.4,1.2,1.6,10.7,2024
200,Trayce Jackson-Davis,PF,23,GSW,9,0,8.1,1.1,2.0,.556,0.0,0.0,,1.1,2.0,.556,.556,1.2,2.0,.611,1.0,1.1,2.1,0.7,0.1,0.6,0.4,1.6,3.4,2024
201,LeBron James,PF,39,LAL,11,11,33.9,9.3,16.3,.570,2.0,5.4,.373,7.3,10.9,.667,.631,4.1,6.0,.682,0.6,8.0,8.6,6.0,1.5,0.9,4.3,1.5,24.6,2024
202,Jaime Jaquez Jr.,SF,22,MIA,11,3,22.9,3.8,7.6,.500,0.8,2.9,.281,3.0,4.7,.635,.554,0.6,0.7,.875,1.2,2.2,3.4,2.1,1.2,0.3,1.2,2.2,9.1,2024
203,DaQuan Jeffries,SG,26,NYK,4,0,3.0,0.8,1.3,.600,0.3,0.8,.333,0.5,0.5,1.000,.700,0.0,0.0,,0.0,0.5,0.5,0.3,0.0,0.0,0.3,0.3,1.8,2024
204,Ty Jerome,SG,26,CLE,2,0,7.5,1.0,2.0,.500,0.0,0.5,.000,1.0,1.5,.667,.500,0.0,0.0,,0.5,0.0,0.5,1.5,0.0,0.0,0.5,1.0,2.0,2024
205,Isaiah Joe,SG,24,OKC,11,0,19.0,2.7,6.9,.395,2.3,5.5,.410,0.5,1.4,.333,.559,1.0,1.3,.786,0.1,1.8,1.9,1.1,0.8,0.1,0.7,1.3,8.7,2024
206,Cameron Johnson,PF,27,BRK,4,4,28.8,5.3,12.5,.420,2.3,7.0,.321,3.0,5.5,.545,.510,1.5,2.0,.750,1.5,3.8,5.3,1.5,1.3,0.0,1.8,1.3,14.3,2024
207,Jalen Johnson,SF,22,ATL,11,8,30.1,6.0,9.8,.611,1.4,2.9,.469,4.6,6.9,.671,.681,1.4,2.0,.682,1.5,6.2,7.7,2.2,0.9,0.8,2.2,2.4,14.7,2024
208,Keldon Johnson,SF,24,SAS,10,10,32.3,6.0,13.6,.441,1.6,5.1,.314,4.4,8.5,.518,.500,1.7,2.5,.680,0.8,5.3,6.1,4.3,0.8,0.3,1.2,2.9,15.3,2024
209,Keyontae Johnson,SF,23,OKC,1,0,6.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
210,Nikola Jokić,C,28,DEN,11,11,34.7,11.6,20.1,.579,1.5,4.7,.327,10.1,15.4,.657,.618,5.2,6.5,.803,3.4,10.5,13.9,8.4,1.0,0.7,3.5,2.2,30.0,2024
211,Colby Jones,SG,21,SAC,6,0,8.5,1.3,2.8,.471,0.2,0.7,.250,1.2,2.2,.538,.500,0.3,0.3,1.000,0.8,1.2,2.0,0.3,0.2,0.2,0.5,0.8,3.2,2024
212,Damian Jones,C,28,CLE,7,0,5.0,0.4,0.4,1.000,0.0,0.0,,0.4,0.4,1.000,1.000,0.1,0.3,.500,0.3,0.7,1.0,0.3,0.0,0.1,0.3,0.4,1.0,2024
213,Derrick Jones Jr.,SF,26,DAL,12,12,22.5,3.6,6.8,.524,1.5,4.1,.367,2.1,2.8,.758,.634,1.0,1.4,.706,0.9,2.6,3.5,1.2,0.6,0.8,1.0,1.3,9.7,2024
214,Herbert Jones,SF,25,NOP,8,8,31.0,3.8,7.4,.508,1.0,3.4,.296,2.8,4.0,.688,.576,2.6,3.0,.875,0.6,3.3,3.9,2.0,2.0,1.6,1.4,3.6,11.1,2024
215,Tre Jones,PG,24,SAS,9,0,25.8,3.2,7.2,.446,0.6,2.2,.250,2.7,5.0,.533,.485,1.8,1.9,.941,0.8,2.4,3.2,6.0,0.8,0.4,1.4,1.3,8.8,2024
216,Tyus Jones,PG,27,WAS,11,11,26.4,4.1,8.9,.459,1.3,3.5,.368,2.8,5.5,.517,.531,0.2,0.4,.500,0.4,2.3,2.6,4.8,0.9,0.2,0.8,1.2,9.6,2024
217,DeAndre Jordan,C,35,DEN,1,0,12.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,.500,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2024
218,Cory Joseph,PG,32,GSW,5,0,5.2,0.6,1.8,.333,0.6,1.2,.500,0.0,0.6,.000,.500,0.0,0.2,.000,0.2,0.2,0.4,1.4,0.2,0.0,0.8,0.8,1.8,2024
219,Nikola Jović,PF,20,MIA,2,1,14.0,2.0,4.0,.500,1.5,2.5,.600,0.5,1.5,.333,.688,1.0,1.0,1.000,0.0,7.5,7.5,2.0,0.5,0.0,1.0,1.0,6.5,2024
220,Luke Kennard,SG,27,MEM,8,0,21.5,2.6,7.3,.362,2.1,5.8,.370,0.5,1.5,.333,.509,0.9,0.9,1.000,0.4,2.5,2.9,2.0,0.6,0.1,0.6,0.5,8.3,2024
221,Walker Kessler,C,22,UTA,8,8,24.0,3.5,6.4,.549,0.3,0.8,.333,3.3,5.6,.578,.569,1.0,1.6,.615,3.4,4.5,7.9,0.3,0.0,2.1,1.0,2.1,8.3,2024
222,Braxton Key,SF,26,DEN,4,0,2.5,0.3,1.0,.250,0.0,0.3,.000,0.3,0.8,.333,.250,0.0,0.0,,0.0,0.3,0.3,0.8,0.0,0.0,0.0,0.5,0.5,2024
223,Corey Kispert,SF,24,WAS,10,0,22.4,3.4,7.6,.447,1.9,5.1,.373,1.5,2.5,.600,.572,1.7,2.1,.810,0.5,1.9,2.4,1.7,0.3,0.0,1.2,1.7,10.4,2024
224,Maxi Kleber,C,32,DAL,5,1,18.0,0.8,3.2,.250,0.6,1.8,.333,0.2,1.4,.143,.344,1.2,2.0,.600,0.8,3.4,4.2,2.0,0.2,0.2,0.8,1.6,3.4,2024
225,Kevin Knox,SF,24,DET,2,0,26.5,6.0,8.0,.750,3.0,4.5,.667,3.0,3.5,.857,.938,0.0,0.0,,0.5,3.0,3.5,1.0,0.5,0.0,1.0,2.5,15.0,2024
226,John Konchar,SF,27,MEM,8,0,18.0,1.5,3.4,.444,0.9,2.0,.438,0.6,1.4,.455,.574,0.0,0.0,,1.0,3.1,4.1,1.8,0.8,0.6,0.3,0.9,3.9,2024
227,Furkan Korkmaz,SG,26,PHI,9,0,7.9,0.8,1.9,.412,0.3,0.8,.429,0.4,1.1,.400,.500,0.3,0.6,.600,0.1,0.6,0.7,0.3,0.6,0.0,0.7,0.3,2.2,2024
228,Luke Kornet,C,28,BOS,9,0,11.6,1.7,2.1,.789,0.0,0.0,,1.7,2.1,.789,.789,0.7,0.9,.750,1.3,2.2,3.6,0.7,0.4,0.2,0.3,1.1,4.0,2024
229,Jonathan Kuminga,PF,21,GSW,11,0,20.1,3.8,9.6,.396,0.4,2.1,.174,3.5,7.5,.458,.415,3.5,4.6,.745,1.0,1.9,2.9,0.6,0.6,0.4,1.2,2.7,11.5,2024
230,Kyle Kuzma,PF,28,WAS,11,11,30.3,9.3,19.6,.472,2.4,6.7,.351,6.9,12.9,.535,.532,3.0,3.8,.786,1.3,4.8,6.1,3.0,0.2,0.5,2.2,1.6,23.9,2024
231,Jock Landale,C,28,HOU,7,0,11.0,0.7,2.6,.278,0.3,1.3,.222,0.4,1.3,.333,.333,0.3,0.3,1.000,1.1,1.1,2.3,1.0,0.4,0.3,0.7,0.9,2.0,2024
232,Jake LaRavia,PF,22,MEM,5,0,12.2,1.4,4.0,.350,0.4,2.4,.167,1.0,1.6,.625,.400,0.2,0.4,.500,0.6,1.0,1.6,0.4,0.2,0.0,0.4,1.6,3.4,2024
233,Zach LaVine,SG,28,CHI,12,12,35.2,7.1,17.4,.407,2.4,7.3,.330,4.7,10.1,.463,.476,5.1,5.8,.871,0.4,4.5,4.9,3.0,0.8,0.3,2.2,2.0,21.7,2024
234,Saben Lee,PG,24,PHO,3,0,3.3,1.0,2.0,.500,0.0,0.3,.000,1.0,1.7,.600,.500,0.0,0.0,,0.7,0.3,1.0,1.0,0.0,0.3,0.0,0.3,2.0,2024
235,Alex Len,C,30,SAC,6,0,6.8,1.0,1.3,.750,0.0,0.2,.000,1.0,1.2,.857,.750,0.5,1.2,.429,1.2,1.5,2.7,0.8,0.2,0.8,0.3,0.3,2.5,2024
236,Kawhi Leonard,SF,32,LAC,10,10,33.9,7.7,16.8,.458,2.5,5.9,.424,5.2,10.9,.477,.533,2.6,3.4,.765,1.1,4.1,5.2,3.7,1.7,0.4,1.7,1.7,20.5,2024
237,Caris LeVert,SG,29,CLE,10,1,33.1,6.7,15.5,.432,2.0,6.1,.328,4.7,9.4,.500,.497,3.4,4.6,.739,0.6,4.1,4.7,4.1,1.2,0.5,1.4,2.0,18.8,2024
238,Kira Lewis Jr.,PG,22,NOP,10,0,11.5,1.3,4.0,.325,0.1,1.3,.077,1.2,2.7,.444,.338,0.8,0.9,.889,0.3,0.7,1.0,1.6,0.4,0.1,0.5,0.7,3.5,2024
239,Maxwell Lewis,SF,21,LAL,5,0,4.0,0.0,0.6,.000,0.0,0.0,,0.0,0.6,.000,.000,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.4,0.0,0.0,2024
