Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
108,Anthony Davis,C,30,LAL,47,47,35.9,9.4,17.0,.551,0.4,1.2,.309,9.0,15.9,.568,.561,5.5,6.9,.807,3.1,9.0,12.2,3.7,1.1,2.4,2.1,2.5,24.7,2024
109,Johnny Davis,SG,21,WAS,23,0,8.0,1.0,2.6,.407,0.1,0.3,.286,1.0,2.3,.423,.424,0.2,0.3,.571,0.4,0.5,0.9,0.3,0.3,0.1,0.3,0.6,2.3,2024
110,JD Davison,SG,21,BOS,2,0,3.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,1.0,1.0,1.000,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2024
111,Dexter Dennis,SG,24,DAL,4,0,7.5,2.5,4.8,.526,0.3,2.0,.125,2.3,2.8,.818,.553,0.3,0.8,.333,0.3,2.0,2.3,1.0,0.0,0.3,0.8,0.3,5.5,2024
112,DeMar DeRozan,SF,34,CHI,48,48,37.4,7.6,16.4,.465,0.9,2.8,.331,6.7,13.6,.493,.494,5.9,6.9,.846,0.6,3.5,4.1,5.4,1.2,0.7,1.6,2.1,22.0,2024
113,Moussa Diabaté,C,22,LAC,10,0,5.8,0.9,1.8,.500,0.0,0.0,,0.9,1.8,.500,.500,0.9,1.2,.750,1.4,0.6,2.0,0.4,0.4,0.0,0.2,0.4,2.7,2024
114,Mamadi Diakite,PF,27,SAS,3,0,5.3,1.3,1.7,.800,0.0,0.0,,1.3,1.7,.800,.800,1.3,2.0,.667,0.3,0.7,1.0,0.7,0.0,0.3,0.0,0.3,4.0,2024
115,Hamidou Diallo,SG,25,WAS,2,0,2.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,1.0,0.0,1.0,0.5,1.0,0.0,0.5,0.5,1.0,2024
116,Gradey Dick,SG,20,TOR,28,1,13.9,1.3,4.0,.333,0.7,2.4,.279,0.6,1.5,.419,.419,0.7,0.8,.909,0.5,1.2,1.7,1.1,0.5,0.0,0.6,1.3,4.0,2024
117,Ousmane Dieng,PF,20,OKC,25,0,11.5,1.5,3.4,.442,0.7,2.2,.309,0.8,1.2,.677,.541,0.5,0.6,.857,0.4,1.4,1.8,0.9,0.1,0.0,0.5,0.7,4.2,2024
118,Spencer Dinwiddie,PG,30,BRK,46,46,30.4,4.1,10.4,.392,1.9,5.8,.325,2.2,4.6,.479,.483,2.7,3.4,.783,0.6,2.8,3.3,6.0,0.8,0.2,1.3,1.8,12.7,2024
119,Donte DiVincenzo,SG,27,NYK,50,32,23.7,4.4,9.8,.451,2.9,7.0,.416,1.5,2.8,.540,.600,0.9,1.2,.733,0.8,2.5,3.2,2.3,1.1,0.3,1.1,2.0,12.6,2024
120,Luka Dončić,PG,24,DAL,41,41,37.6,11.8,24.0,.489,3.9,10.4,.374,7.9,13.7,.576,.569,7.4,9.5,.784,0.8,7.8,8.6,9.6,1.4,0.6,4.0,1.9,34.8,2024
121,Luguentz Dort,SF,24,OKC,48,48,28.5,3.6,8.2,.438,1.9,4.8,.390,1.7,3.4,.506,.552,1.6,2.0,.811,1.2,2.7,3.9,1.3,0.8,0.7,0.9,3.0,10.7,2024
122,Ayo Dosunmu,SG,24,CHI,48,10,24.6,3.7,7.6,.493,1.2,3.1,.380,2.5,4.4,.573,.572,1.0,1.2,.793,0.7,1.9,2.6,2.2,0.8,0.5,1.0,2.0,9.6,2024
123,Andre Drummond,C,30,CHI,50,7,15.8,3.1,5.7,.553,0.0,0.0,.000,3.1,5.6,.557,.553,1.4,2.6,.558,3.3,5.0,8.3,0.5,1.1,0.6,1.0,1.7,7.7,2024
124,Chris Duarte,SF,26,SAC,35,11,13.2,1.3,3.6,.360,0.6,1.9,.313,0.7,1.7,.414,.444,0.5,0.7,.750,0.4,1.5,1.8,0.9,0.5,0.1,0.6,1.7,3.7,2024
125,Kris Dunn,PG,29,UTA,43,25,17.6,2.1,4.5,.479,0.6,1.4,.410,1.6,3.0,.511,.544,0.3,0.4,.667,0.7,2.2,2.9,4.3,0.9,0.4,1.3,1.9,5.1,2024
126,Kevin Durant,PF,35,PHO,43,43,37.0,10.2,18.9,.538,2.3,5.0,.461,7.8,13.9,.565,.599,5.7,6.5,.874,0.5,5.8,6.3,5.7,0.9,1.3,3.1,1.8,28.3,2024
127,Jalen Duren,C,20,DET,34,33,29.9,6.2,9.6,.649,0.0,0.1,.000,6.2,9.5,.653,.649,1.5,2.1,.699,3.3,8.4,11.6,2.5,0.4,0.8,1.9,3.2,13.9,2024
128,Tari Eason,PF,22,HOU,22,0,21.8,4.0,8.6,.466,0.8,2.3,.360,3.2,6.3,.504,.513,1.0,1.5,.636,2.1,4.9,7.0,1.2,1.4,0.9,0.9,2.3,9.8,2024
129,Anthony Edwards,SG,22,MIN,47,47,34.9,8.9,19.0,.466,2.5,6.4,.389,6.4,12.6,.505,.531,5.4,6.4,.838,0.6,4.5,5.1,5.1,1.2,0.5,3.4,1.9,25.6,2024
130,Kessler Edwards,SF,23,SAC,33,0,4.9,0.5,1.3,.395,0.3,0.8,.346,0.2,0.5,.471,.500,0.1,0.1,.750,0.2,0.6,0.8,0.3,0.1,0.1,0.0,0.4,1.4,2024
131,Keon Ellis,SG,24,SAC,28,3,12.2,1.3,3.0,.434,0.9,2.4,.382,0.4,0.5,.667,.590,0.4,0.6,.647,0.3,1.0,1.3,1.3,0.5,0.4,0.5,1.4,3.9,2024
132,Joel Embiid,C,29,PHI,34,34,34.0,11.8,22.2,.533,1.2,3.3,.366,10.6,18.9,.562,.560,10.5,11.9,.883,2.6,8.7,11.3,5.7,1.1,1.8,3.7,2.9,35.3,2024
133,Drew Eubanks,C,26,PHO,44,3,16.1,2.3,3.6,.639,0.1,0.1,1.000,2.2,3.5,.632,.649,1.0,1.4,.742,1.4,2.9,4.3,1.0,0.3,0.8,1.0,1.7,5.7,2024
134,Tosan Evbuomwan,SF,22,MEM,2,0,23.0,1.0,4.5,.222,1.0,2.5,.400,0.0,2.0,.000,.333,0.0,0.0,,4.0,2.5,6.5,2.0,0.0,0.0,0.5,1.5,3.0,2024
135,Dante Exum,PG,28,DAL,32,14,19.7,3.6,6.3,.571,1.0,2.0,.477,2.7,4.3,.616,.648,1.0,1.4,.727,0.6,2.2,2.8,2.8,0.6,0.2,0.8,1.6,9.2,2024
136,Bruno Fernando,C,25,ATL,13,0,6.5,1.1,2.1,.519,0.0,0.2,.000,1.1,1.8,.583,.519,0.8,1.5,.526,0.5,1.5,2.0,0.3,0.2,0.4,0.5,0.9,2.9,2024
137,Dorian Finney-Smith,PF,30,BRK,42,31,28.8,3.3,8.1,.412,2.1,5.5,.383,1.2,2.6,.473,.541,0.3,0.5,.700,1.7,3.1,4.8,1.4,0.7,0.6,0.8,2.2,9.1,2024
138,Malachi Flynn,PG,25,TOT,44,0,11.9,1.4,3.5,.404,0.7,2.0,.333,0.8,1.5,.500,.500,0.6,0.8,.788,0.3,1.3,1.6,1.8,0.4,0.1,0.8,1.0,4.1,2024
138,Malachi Flynn,PG,25,TOR,31,0,15.3,1.8,4.4,.409,0.9,2.6,.350,0.9,1.8,.491,.511,0.5,0.7,.773,0.4,1.7,2.1,2.4,0.6,0.2,1.1,1.4,5.1,2024
138,Malachi Flynn,PG,25,NYK,13,0,3.8,0.5,1.5,.368,0.2,0.8,.200,0.4,0.7,.556,.421,0.7,0.8,.818,0.0,0.4,0.4,0.4,0.1,0.0,0.2,0.2,1.9,2024
139,Simone Fontecchio,SF,28,UTA,49,33,23.2,3.3,7.2,.452,1.9,4.7,.394,1.4,2.5,.561,.581,0.7,0.8,.800,1.0,2.5,3.5,1.4,0.6,0.4,1.0,1.7,9.0,2024
140,Jordan Ford,PG,25,SAC,6,0,3.7,0.7,1.2,.571,0.3,0.5,.667,0.3,0.7,.500,.714,0.3,0.3,1.000,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.0,2.0,2024
141,Trent Forrest,SG,25,ATL,19,0,10.6,0.8,2.5,.319,0.1,0.4,.286,0.7,2.1,.325,.340,0.4,0.5,.800,0.3,1.1,1.4,2.0,0.4,0.1,0.5,0.9,2.1,2024
142,Evan Fournier,SG,31,NYK,3,0,13.0,1.3,6.7,.200,0.7,5.0,.133,0.7,1.7,.400,.250,0.7,0.7,1.000,0.0,1.3,1.3,1.0,1.3,0.0,0.3,1.3,4.0,2024
143,De'Aaron Fox,PG,26,SAC,42,42,35.6,9.7,20.7,.470,3.0,7.9,.380,6.7,12.8,.526,.543,5.0,6.9,.721,0.8,3.2,4.0,5.4,1.8,0.4,2.5,2.5,27.5,2024
144,Javon Freeman-Liberty,PG,24,TOR,2,0,2.0,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,.333,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,2024
145,Alex Fudge,SF,20,LAL,4,0,3.5,0.3,1.5,.167,0.0,0.5,.000,0.3,1.0,.250,.167,0.5,0.5,1.000,0.5,0.0,0.5,0.0,0.0,0.0,0.3,0.3,1.0,2024
146,Markelle Fultz,PG,25,ORL,17,11,24.5,4.3,8.4,.510,0.0,0.2,.000,4.3,8.2,.521,.510,0.4,0.8,.462,1.2,2.0,3.2,3.6,1.4,0.4,1.1,1.7,8.9,2024
147,Daniel Gafford,C,25,WAS,44,44,26.3,4.5,6.4,.695,0.0,0.0,,4.5,6.4,.695,.695,1.9,2.7,.706,2.9,5.0,7.9,1.6,1.0,2.1,1.0,3.3,10.8,2024
148,Danilo Gallinari,PF-SF,35,TOT,31,0,15.0,2.2,4.9,.447,0.9,2.5,.355,1.3,2.5,.539,.536,2.2,2.6,.850,0.4,2.4,2.8,1.3,0.3,0.1,0.4,1.1,7.5,2024
148,Danilo Gallinari,PF,35,WAS,26,0,14.8,2.2,5.0,.435,0.8,2.5,.313,1.4,2.6,.552,.511,1.8,2.2,.839,0.5,2.5,2.9,1.2,0.2,0.1,0.5,1.0,7.0,2024
148,Danilo Gallinari,SF,35,DET,5,0,15.8,2.2,4.2,.524,1.4,2.4,.583,0.8,1.8,.444,.690,4.2,4.8,.875,0.2,1.8,2.0,2.0,0.4,0.2,0.2,1.6,10.0,2024
149,Darius Garland,PG,24,CLE,23,23,32.5,7.1,15.0,.471,1.7,5.0,.339,5.4,10.0,.537,.527,3.5,4.2,.844,0.5,2.1,2.6,5.7,1.6,0.2,3.6,1.5,19.4,2024
150,Usman Garuba,PF,21,GSW,2,0,3.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,2024
151,Luka Garza,C,25,MIN,11,0,3.0,0.9,2.1,.435,0.2,0.6,.286,0.7,1.5,.500,.478,0.5,0.9,.600,0.5,0.4,0.8,0.2,0.0,0.0,0.2,0.8,2.5,2024
152,Kaiser Gates,SF,27,NOP,1,0,7.0,0.0,4.0,.000,0.0,2.0,.000,0.0,2.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
153,Keyonte George,PG,20,UTA,45,16,24.1,3.5,9.2,.383,1.7,5.2,.332,1.8,4.0,.448,.476,2.5,3.0,.824,0.3,2.6,2.9,4.2,0.4,0.1,2.0,1.1,11.2,2024
154,Paul George,PF,33,LAC,45,45,33.9,7.9,17.2,.460,3.4,8.3,.409,4.5,8.9,.507,.559,3.5,3.8,.912,0.6,4.9,5.5,3.6,1.6,0.4,2.1,2.9,22.7,2024
155,Taj Gibson,PF,38,NYK,11,0,8.8,0.6,1.3,.500,0.0,0.4,.000,0.6,0.9,.700,.500,0.0,0.0,,0.5,1.1,1.6,0.5,0.1,0.5,0.2,1.8,1.3,2024
156,Josh Giddey,SG,21,OKC,49,49,25.0,4.8,10.5,.453,0.9,2.8,.326,3.8,7.7,.500,.497,1.3,1.5,.827,1.4,4.9,6.3,4.6,0.7,0.5,2.1,1.2,11.7,2024
157,Harry Giles,C,25,BRK,16,0,5.1,1.4,2.8,.500,0.2,0.7,.273,1.2,2.1,.576,.534,0.4,0.8,.538,0.8,0.9,1.6,0.4,0.1,0.2,0.4,0.9,3.4,2024
158,Shai Gilgeous-Alexander,PG,25,OKC,49,49,34.6,10.9,19.9,.548,1.2,3.4,.353,9.7,16.5,.588,.578,8.1,9.1,.891,0.9,4.7,5.7,6.6,2.3,0.9,2.2,2.6,31.1,2024
159,Anthony Gill,PF,31,WAS,29,0,5.6,0.8,1.6,.489,0.1,0.4,.250,0.7,1.2,.571,.521,0.4,0.6,.750,0.4,0.8,1.3,0.4,0.2,0.2,0.5,0.4,2.1,2024
160,Collin Gillespie,PG,24,DEN,15,0,6.5,0.8,1.7,.480,0.3,0.9,.308,0.5,0.8,.667,.560,0.3,0.3,.800,0.1,0.3,0.3,0.6,0.3,0.0,0.3,0.8,2.1,2024
161,Jacob Gilyard,PG,25,MEM,33,12,17.4,1.5,3.7,.418,1.3,3.1,.426,0.2,0.6,.381,.594,0.1,0.1,1.000,0.2,0.8,1.1,3.5,0.7,0.1,0.7,1.0,4.5,2024
162,Rudy Gobert,C,31,MIN,49,49,33.2,5.1,8.0,.646,0.0,0.0,.000,5.1,7.9,.649,.646,3.4,5.3,.643,3.4,9.1,12.5,1.2,0.6,2.1,1.6,2.9,13.7,2024
163,Jordan Goodwin,PG,25,PHO,39,0,14.3,1.9,4.9,.389,0.6,2.1,.288,1.3,2.9,.460,.448,0.6,0.7,.852,1.0,2.0,3.0,2.0,0.6,0.2,0.7,1.1,5.0,2024
164,Aaron Gordon,PF,28,DEN,45,45,31.9,5.4,9.9,.543,0.6,1.8,.305,4.8,8.1,.596,.571,2.3,3.7,.630,2.6,4.0,6.6,3.1,0.8,0.7,1.3,1.9,13.6,2024
165,Eric Gordon,SG,35,PHO,42,20,30.0,4.6,10.2,.454,2.5,6.5,.383,2.1,3.6,.582,.577,0.8,1.0,.780,0.3,1.8,2.1,2.3,1.0,0.5,1.3,1.3,12.5,2024
166,Devonte' Graham,PG,28,SAS,10,0,8.8,1.1,2.8,.393,0.7,2.0,.350,0.4,0.8,.500,.518,0.6,0.8,.750,0.2,1.1,1.3,1.9,0.3,0.1,0.3,0.4,3.5,2024
167,Jerami Grant,PF,29,POR,43,43,33.6,7.3,15.8,.461,2.1,5.1,.403,5.2,10.7,.489,.527,4.6,5.7,.809,0.7,3.0,3.7,2.6,0.7,0.7,2.0,2.2,21.3,2024
168,A.J. Green,SG,24,MIL,30,0,7.9,1.2,2.7,.444,1.0,2.3,.429,0.2,0.4,.545,.630,0.2,0.2,1.000,0.2,0.7,0.9,0.5,0.0,0.0,0.0,0.9,3.6,2024
169,Danny Green,SG,36,PHI,2,0,9.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,2024
170,Draymond Green,PF,33,GSW,22,19,26.9,3.3,6.8,.480,1.1,2.7,.417,2.1,4.1,.522,.563,1.5,1.9,.805,1.2,5.0,6.2,6.2,0.7,0.9,2.5,3.1,9.2,2024
171,Jalen Green,SG,21,HOU,49,49,30.8,6.2,15.1,.411,2.1,6.6,.316,4.1,8.5,.486,.480,3.7,4.5,.810,0.4,4.4,4.8,3.3,0.7,0.3,2.1,1.3,18.1,2024
172,Jeff Green,PF,37,HOU,47,4,16.6,2.0,4.0,.500,0.4,1.3,.288,1.6,2.7,.598,.546,1.8,2.1,.830,0.6,1.5,2.1,0.7,0.2,0.4,0.7,1.5,6.1,2024
173,Josh Green,SG,23,DAL,36,19,27.1,3.3,6.8,.476,1.4,3.5,.400,1.9,3.4,.554,.577,0.6,1.1,.579,0.6,2.6,3.2,2.5,0.7,0.1,1.2,2.0,8.5,2024
174,AJ Griffin,SF,20,ATL,18,0,7.3,0.7,2.5,.289,0.5,1.8,.273,0.2,0.7,.333,.389,0.1,0.1,1.000,0.1,0.7,0.8,0.2,0.1,0.1,0.3,0.3,2.1,2024
175,Quentin Grimes,SG,23,NYK,45,18,20.2,2.5,6.4,.395,1.7,4.7,.363,0.8,1.6,.486,.530,0.5,0.8,.706,0.3,1.6,2.0,1.2,0.7,0.1,0.5,1.5,7.3,2024
176,Mouhamed Gueye,PF,21,ATL,2,0,2.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,2024
177,Rui Hachimura,PF,25,LAL,37,8,23.0,4.3,8.6,.494,1.2,3.0,.391,3.1,5.7,.548,.561,1.6,2.2,.753,0.8,2.9,3.6,1.1,0.7,0.2,0.8,1.4,11.4,2024
178,Tyrese Haliburton,PG,23,IND,38,37,32.2,8.1,16.2,.498,3.2,8.0,.398,4.9,8.2,.594,.596,3.3,3.8,.862,0.7,3.3,4.0,11.8,1.1,0.7,2.4,1.0,22.6,2024
179,R.J. Hampton,PG,22,MIA,8,2,9.5,0.5,1.8,.286,0.1,1.0,.125,0.4,0.8,.500,.321,0.1,0.3,.500,0.3,0.5,0.8,1.0,0.0,0.0,0.4,1.0,1.3,2024
180,Tim Hardaway Jr.,SF,31,DAL,46,10,30.4,6.2,14.8,.422,3.3,8.9,.368,3.0,5.9,.504,.533,2.6,2.9,.874,0.3,3.3,3.7,1.7,0.5,0.0,1.0,1.5,18.3,2024
181,James Harden,PG,34,LAC,43,43,34.3,5.1,11.3,.447,2.7,6.6,.410,2.4,4.8,.498,.566,4.2,4.8,.870,0.3,4.6,4.9,8.5,1.2,0.9,2.6,2.1,17.0,2024
182,Jaden Hardy,SG,21,DAL,44,6,16.0,2.9,7.5,.389,1.3,3.8,.351,1.6,3.7,.429,.479,0.8,1.1,.714,0.3,1.8,2.1,1.8,0.3,0.1,0.8,1.3,8.0,2024
183,Ron Harper Jr.,PF,23,TOR,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2024
184,Gary Harris,SG,29,ORL,29,6,22.7,2.4,5.7,.433,1.3,3.9,.336,1.1,1.8,.647,.549,0.8,1.1,.774,0.4,1.2,1.7,1.8,0.8,0.2,0.6,1.8,7.0,2024
185,Joe Harris,SG,32,DET,15,0,10.5,0.9,2.4,.361,0.7,1.9,.345,0.2,0.5,.429,.500,0.1,0.1,.500,0.2,0.7,0.9,0.7,0.2,0.1,0.3,1.2,2.5,2024
186,Kevon Harris,SG,26,ORL,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2024
187,Tobias Harris,PF,31,PHI,44,44,34.0,6.8,13.3,.512,1.2,3.5,.344,5.6,9.8,.572,.557,3.1,3.5,.902,1.1,4.8,6.0,3.2,1.0,0.5,1.4,1.7,17.9,2024
188,Shaquille Harrison,SG,30,MEM,3,0,2.0,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.3,0.0,0.0,0.7,2024
189,Josh Hart,SF,28,NYK,49,10,29.2,2.9,6.8,.426,0.9,2.8,.302,2.0,3.9,.516,.489,0.8,1.0,.833,1.3,5.6,6.9,3.0,0.8,0.3,1.2,1.9,7.4,2024
190,Isaiah Hartenstein,C,25,NYK,48,22,25.6,2.8,4.5,.606,0.0,0.1,.333,2.7,4.5,.609,.608,1.4,1.9,.699,3.4,5.3,8.8,2.0,1.1,1.1,1.1,2.9,6.9,2024
191,Sam Hauser,SF,26,BOS,49,5,21.7,2.8,6.3,.447,2.3,5.4,.416,0.6,0.9,.636,.625,0.2,0.3,.846,0.6,2.8,3.4,1.0,0.4,0.3,0.5,1.3,8.2,2024
192,Jordan Hawkins,SG,21,NOP,44,10,21.4,3.3,8.3,.401,2.1,5.5,.382,1.3,2.9,.437,.526,1.4,1.6,.847,0.6,2.3,2.8,1.4,0.3,0.1,0.8,1.4,10.2,2024
193,Jaxson Hayes,C,23,LAL,40,3,10.7,1.5,2.1,.702,0.0,0.1,.000,1.5,2.0,.747,.702,0.6,1.0,.615,0.6,1.4,2.0,0.5,0.4,0.4,0.5,1.7,3.6,2024
194,Killian Hayes,PG,22,DET,41,30,23.9,2.8,6.7,.413,0.5,1.7,.286,2.3,5.0,.456,.449,0.8,1.2,.660,0.3,2.5,2.8,4.8,0.9,0.5,1.2,1.8,6.9,2024
195,Gordon Hayward,SF,33,CHO,25,25,31.9,5.6,11.9,.468,0.9,2.4,.361,4.7,9.4,.496,.505,2.5,3.2,.765,1.0,3.7,4.7,4.6,1.1,0.5,2.0,1.8,14.5,2024
196,Scoot Henderson,PG,19,POR,41,15,26.7,4.4,11.8,.373,1.2,4.0,.315,3.2,7.9,.402,.426,2.7,3.3,.810,0.9,2.1,3.0,4.6,0.6,0.2,3.0,3.0,12.8,2024
197,Taylor Hendricks,PF,20,UTA,13,0,13.9,1.8,4.5,.397,0.9,2.7,.343,0.8,1.8,.478,.500,0.5,0.6,.750,0.8,1.4,2.2,0.5,0.7,0.5,0.7,0.9,4.9,2024
198,Tyler Herro,SG,24,MIA,30,30,33.9,7.8,18.2,.429,3.3,8.3,.403,4.5,9.9,.450,.520,2.1,2.5,.838,0.5,4.8,5.4,4.3,1.0,0.1,2.3,1.5,21.0,2024
199,Buddy Hield,SF,31,IND,51,28,25.7,4.4,10.0,.439,2.6,6.9,.382,1.7,3.1,.567,.572,0.5,0.6,.848,0.7,2.5,3.2,2.6,0.8,0.6,1.2,2.0,12.0,2024
200,Haywood Highsmith,PF,27,MIA,36,24,21.2,2.2,5.0,.431,1.1,3.0,.374,1.1,2.1,.514,.541,0.5,0.7,.792,0.8,2.1,2.9,1.1,0.9,0.5,0.7,2.1,6.0,2024
201,Nate Hinton,SG,24,HOU,10,0,4.3,0.7,1.5,.467,0.5,0.8,.625,0.2,0.7,.286,.633,0.2,0.2,1.000,0.2,0.7,0.9,0.4,0.1,0.1,0.2,0.8,2.1,2024
202,D'Moi Hodge,SG,25,LAL,7,0,5.9,0.7,2.1,.333,0.4,1.7,.250,0.3,0.4,.667,.433,0.1,0.3,.500,0.0,0.0,0.0,0.7,0.1,0.1,0.1,0.6,2.0,2024
203,Aaron Holiday,PG,27,HOU,46,1,17.0,2.3,5.2,.443,1.1,2.8,.392,1.2,2.3,.505,.551,0.7,0.8,.919,0.3,1.6,1.8,1.7,0.6,0.1,0.8,1.5,6.4,2024
204,Jrue Holiday,PG,33,BOS,46,46,33.4,5.0,10.7,.463,2.0,4.8,.423,2.9,5.9,.496,.558,1.2,1.4,.833,1.3,4.6,6.0,4.6,0.8,0.7,1.9,1.6,13.1,2024
205,Justin Holiday,SG,34,DEN,28,6,12.9,1.3,2.7,.487,0.8,1.9,.423,0.5,0.9,.625,.632,0.0,0.0,,0.1,1.0,1.1,0.9,0.6,0.1,0.2,1.2,3.4,2024
206,Richaun Holmes,C,30,DAL,22,2,10.5,1.5,2.7,.559,0.0,0.0,,1.5,2.7,.559,.559,0.5,1.0,.571,1.5,2.0,3.5,0.6,0.1,0.4,0.5,1.5,3.5,2024
207,Chet Holmgren,C,21,OKC,50,50,30.2,6.4,12.0,.533,1.7,4.3,.386,4.7,7.7,.616,.603,2.4,3.1,.769,1.5,6.0,7.5,2.8,0.6,2.6,1.7,2.4,16.8,2024
208,Jalen Hood-Schifino,SG,20,LAL,15,0,6.1,0.5,2.3,.229,0.1,0.7,.091,0.5,1.6,.292,.243,0.7,1.1,.625,0.1,0.5,0.7,0.5,0.2,0.1,0.5,0.7,1.8,2024
209,Al Horford,C,37,BOS,41,20,26.9,2.9,6.1,.482,1.6,4.0,.404,1.3,2.0,.639,.616,0.3,0.3,.857,1.2,5.5,6.8,2.8,0.5,1.0,0.8,1.6,7.8,2024
210,Talen Horton-Tucker,PG,23,UTA,32,11,21.1,4.0,9.7,.411,1.2,3.6,.333,2.8,6.1,.456,.472,1.6,2.0,.800,0.4,2.1,2.5,4.1,1.0,0.3,1.6,1.9,10.8,2024
211,Danuel House Jr.,SF,30,PHI,33,3,15.1,1.4,3.1,.455,0.5,1.5,.313,0.9,1.6,.585,.530,1.0,1.3,.750,0.4,1.2,1.6,0.8,0.5,0.2,0.5,1.3,4.2,2024
212,Caleb Houstan,SF,21,ORL,36,7,15.6,1.6,4.1,.383,1.4,3.9,.360,0.2,0.3,.700,.550,0.5,0.6,.773,0.6,1.1,1.7,0.6,0.3,0.0,0.4,1.2,5.0,2024
213,Jett Howard,SF,20,ORL,11,0,3.8,0.6,1.7,.368,0.4,1.3,.286,0.3,0.5,.600,.474,0.2,0.4,.500,0.1,0.4,0.5,0.3,0.0,0.1,0.2,0.1,1.8,2024
214,Kevin Huerter,SG,25,SAC,46,41,24.9,4.1,9.2,.447,2.0,5.6,.364,2.0,3.5,.577,.558,0.7,0.9,.780,0.6,3.2,3.8,2.7,0.7,0.4,0.7,2.3,10.9,2024
215,Jay Huff,C,25,DEN,7,0,2.6,0.4,0.9,.500,0.1,0.6,.250,0.3,0.3,1.000,.583,0.0,0.0,,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.7,1.0,2024
216,De'Andre Hunter,SF,26,ATL,26,24,29.2,4.8,10.6,.458,1.8,4.7,.397,3.0,5.9,.506,.545,2.7,3.1,.875,0.6,3.3,3.8,1.3,0.8,0.3,1.5,2.8,14.2,2024
217,Matthew Hurt,PF,23,MEM,3,0,18.7,2.0,6.0,.333,0.7,3.3,.200,1.3,2.7,.500,.389,1.0,1.0,1.000,1.3,0.7,2.0,1.0,0.0,0.3,0.0,0.7,5.7,2024
218,Bones Hyland,PG,23,LAC,19,2,13.2,2.3,6.3,.367,1.1,3.4,.313,1.3,2.9,.429,.450,0.5,0.6,.833,0.2,0.7,0.9,1.7,0.5,0.1,1.2,1.4,6.2,2024
219,Joe Ingles,SF,36,ORL,36,0,17.8,1.6,4.1,.397,1.1,2.7,.388,0.6,1.3,.417,.527,0.5,0.6,.850,0.4,2.1,2.5,3.1,0.7,0.1,1.0,1.6,4.8,2024
220,Brandon Ingram,SF,26,NOP,45,45,33.2,8.0,16.4,.488,1.3,3.8,.351,6.6,12.6,.529,.529,4.1,5.1,.805,0.7,4.3,5.0,5.6,0.8,0.5,2.5,2.3,21.4,2024
221,Kyrie Irving,SG,31,DAL,27,27,33.3,9.3,19.6,.472,2.9,7.0,.411,6.4,12.6,.506,.545,3.8,4.2,.895,0.8,4.3,5.1,5.3,1.3,0.4,1.6,1.9,25.2,2024
222,Jonathan Isaac,PF,26,ORL,32,1,14.5,2.2,4.7,.467,0.5,1.8,.281,1.7,2.9,.581,.520,1.3,1.7,.759,1.1,2.9,4.0,0.4,0.8,1.2,0.4,1.2,6.2,2024
223,Jaden Ivey,SG,21,DET,45,29,27.1,5.2,11.3,.461,1.4,4.1,.339,3.8,7.2,.531,.523,2.9,4.0,.717,1.4,2.4,3.8,3.6,0.7,0.6,2.3,2.8,14.7,2024
224,Andre Jackson Jr.,SG,22,MIL,40,8,11.3,1.1,2.0,.551,0.4,0.9,.389,0.7,1.1,.690,.641,0.2,0.3,.727,0.9,1.3,2.2,0.9,0.3,0.1,0.5,1.9,2.7,2024
225,Gregory Jackson II,PF,19,MEM,18,1,17.4,2.9,7.0,.413,1.3,3.7,.364,1.6,3.3,.467,.508,1.4,2.0,.722,0.8,2.3,3.1,0.8,0.4,0.5,0.8,1.0,8.6,2024
