Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
118,Ayo Dosunmu,SG,24,CHI,32,5,22.1,3.0,6.5,.469,0.9,2.8,.337,2.1,3.7,.568,.541,0.8,1.1,.735,0.8,1.7,2.4,1.9,0.8,0.3,0.8,1.8,7.8,2024
119,Andre Drummond,C,30,CHI,34,3,14.9,2.8,5.2,.540,0.0,0.0,.000,2.8,5.1,.543,.540,1.4,2.6,.563,3.1,4.9,8.1,0.6,1.2,0.5,1.1,1.9,7.0,2024
120,Chris Duarte,SF,26,SAC,28,6,13.0,1.3,3.5,.367,0.6,2.0,.304,0.7,1.5,.452,.454,0.6,0.7,.800,0.3,1.6,1.9,0.8,0.6,0.1,0.5,1.9,3.8,2024
121,Kris Dunn,PG,29,UTA,25,7,16.1,2.1,4.7,.453,0.5,1.5,.351,1.6,3.2,.500,.509,0.4,0.6,.688,0.6,2.1,2.7,3.7,0.6,0.2,1.2,1.6,5.2,2024
122,Kevin Durant,PF,35,PHO,28,28,37.1,10.4,19.7,.525,2.2,4.6,.477,8.2,15.1,.540,.581,7.0,8.0,.874,0.4,5.9,6.3,6.0,0.9,1.1,3.4,1.8,29.9,2024
123,Jalen Duren,C,20,DET,17,16,30.1,5.7,9.1,.626,0.0,0.1,.000,5.7,9.0,.634,.626,1.6,2.4,.675,3.6,8.1,11.7,2.5,0.5,1.2,2.4,3.4,13.0,2024
124,Tari Eason,PF,22,HOU,21,0,21.7,3.8,8.3,.460,0.8,2.2,.370,3.0,6.1,.492,.509,1.0,1.6,.636,2.1,5.0,7.1,1.2,1.3,0.9,1.0,2.3,9.4,2024
125,Anthony Edwards,SG,22,MIN,28,28,34.6,9.0,19.7,.456,2.5,6.8,.376,6.4,12.9,.497,.520,5.6,6.6,.839,0.6,4.8,5.4,5.2,1.4,0.6,3.3,1.9,26.0,2024
126,Kessler Edwards,SF,23,SAC,25,0,4.9,0.5,1.4,.382,0.3,0.9,.318,0.2,0.5,.500,.485,0.0,0.1,.500,0.1,0.6,0.7,0.2,0.1,0.1,0.0,0.4,1.4,2024
127,Keon Ellis,SG,24,SAC,23,3,13.2,1.3,3.1,.408,0.9,2.6,.350,0.3,0.5,.727,.556,0.5,0.7,.647,0.3,1.1,1.4,1.4,0.6,0.5,0.6,1.5,3.9,2024
128,Joel Embiid,C,29,PHI,25,25,34.2,11.8,21.8,.540,1.1,3.2,.350,10.6,18.6,.573,.566,10.3,11.6,.893,2.8,8.9,11.7,6.0,1.2,2.0,3.8,2.8,35.0,2024
129,Drew Eubanks,C,26,PHO,28,2,17.0,2.5,4.2,.593,0.1,0.1,1.000,2.4,4.1,.586,.602,1.1,1.3,.838,1.4,3.0,4.4,1.1,0.4,1.0,1.2,1.9,6.2,2024
130,Dante Exum,PG,28,DAL,29,13,19.8,3.8,6.6,.574,1.0,2.1,.452,2.8,4.4,.633,.647,1.0,1.4,.750,0.6,2.4,3.0,2.9,0.6,0.2,0.9,1.7,9.5,2024
131,Bruno Fernando,C,25,ATL,8,0,6.0,1.0,2.3,.444,0.0,0.1,.000,1.0,2.1,.471,.444,0.5,0.8,.667,0.6,1.3,1.9,0.4,0.1,0.1,0.6,1.1,2.5,2024
132,Dorian Finney-Smith,PF,30,BRK,30,19,29.4,3.8,8.4,.450,2.4,5.5,.430,1.4,2.9,.488,.592,0.3,0.3,.800,2.0,3.0,5.1,1.2,0.7,0.5,0.8,2.2,10.2,2024
133,Malachi Flynn,PG,25,TOR,31,0,15.3,1.8,4.4,.409,0.9,2.6,.350,0.9,1.8,.491,.511,0.5,0.7,.773,0.4,1.7,2.1,2.4,0.6,0.2,1.1,1.4,5.1,2024
134,Simone Fontecchio,SF,28,UTA,31,15,21.2,3.0,6.7,.450,1.8,4.5,.400,1.2,2.2,.551,.584,0.8,1.0,.774,0.9,2.0,2.9,1.1,0.5,0.4,1.0,1.7,8.6,2024
135,Jordan Ford,PG,25,SAC,6,0,3.7,0.7,1.2,.571,0.3,0.5,.667,0.3,0.7,.500,.714,0.3,0.3,1.000,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.0,2.0,2024
136,Trent Forrest,SG,25,ATL,8,0,8.1,0.4,1.9,.200,0.0,0.1,.000,0.4,1.8,.214,.200,0.5,0.5,1.000,0.5,0.5,1.0,1.5,0.3,0.0,0.4,0.6,1.3,2024
137,Evan Fournier,SG,31,NYK,2,0,16.5,2.0,8.0,.250,1.0,6.0,.167,1.0,2.0,.500,.313,1.0,1.0,1.000,0.0,1.5,1.5,1.5,2.0,0.0,0.5,1.0,6.0,2024
138,De'Aaron Fox,PG,26,SAC,25,25,35.3,10.5,21.8,.483,3.6,8.8,.403,7.0,12.9,.539,.565,5.4,7.4,.720,1.0,3.6,4.6,6.1,1.6,0.4,2.6,2.7,30.0,2024
139,Alex Fudge,SF,20,LAL,4,0,3.5,0.3,1.5,.167,0.0,0.5,.000,0.3,1.0,.250,.167,0.5,0.5,1.000,0.5,0.0,0.5,0.0,0.0,0.0,0.3,0.3,1.0,2024
140,Markelle Fultz,PG,25,ORL,5,5,28.6,5.4,11.2,.482,0.0,0.6,.000,5.4,10.6,.509,.482,0.6,0.8,.750,1.6,1.8,3.4,4.0,1.2,0.4,1.2,1.2,11.4,2024
141,Daniel Gafford,C,25,WAS,29,29,25.7,4.4,6.4,.684,0.0,0.0,,4.4,6.4,.684,.684,2.0,2.7,.734,2.8,4.9,7.7,1.6,0.9,2.2,1.1,3.4,10.8,2024
142,Danilo Gallinari,PF,35,WAS,26,0,14.8,2.2,5.0,.435,0.8,2.5,.313,1.4,2.6,.552,.511,1.8,2.2,.839,0.5,2.5,2.9,1.2,0.2,0.1,0.5,1.0,7.0,2024
143,Darius Garland,PG,24,CLE,20,20,34.0,7.6,16.1,.470,1.8,5.2,.346,5.8,10.9,.530,.526,3.8,4.6,.835,0.6,2.2,2.8,5.9,1.6,0.2,3.8,1.6,20.7,2024
144,Usman Garuba,PF,21,GSW,2,0,3.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,2024
145,Luka Garza,C,25,MIN,6,0,3.0,0.7,2.0,.333,0.0,0.5,.000,0.7,1.5,.444,.333,0.8,1.3,.625,0.5,0.7,1.2,0.3,0.0,0.0,0.2,1.0,2.2,2024
146,Kaiser Gates,SF,27,NOP,1,0,7.0,0.0,4.0,.000,0.0,2.0,.000,0.0,2.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
147,Keyonte George,PG,20,UTA,27,16,25.6,3.5,9.6,.364,1.7,5.2,.336,1.7,4.4,.398,.455,2.3,3.0,.765,0.4,2.6,3.0,4.9,0.5,0.1,2.3,1.2,11.0,2024
148,Paul George,PF,33,LAC,29,29,34.6,8.0,17.9,.450,3.3,8.2,.399,4.8,9.7,.493,.542,3.5,3.8,.927,0.7,4.9,5.6,4.0,1.6,0.3,2.2,3.0,22.9,2024
149,Taj Gibson,PF,38,NYK,9,0,10.7,0.8,1.6,.500,0.0,0.4,.000,0.8,1.1,.700,.500,0.0,0.0,,0.7,1.3,2.0,0.6,0.1,0.7,0.2,2.1,1.6,2024
150,Josh Giddey,SG,21,OKC,30,30,25.3,5.0,11.1,.450,0.9,2.6,.346,4.1,8.5,.482,.491,0.9,1.2,.800,1.5,4.5,6.0,4.4,0.8,0.4,2.5,1.4,11.8,2024
151,Harry Giles,C,25,BRK,9,0,5.6,1.6,3.0,.519,0.1,0.6,.200,1.4,2.4,.591,.537,0.7,1.0,.667,0.8,0.8,1.6,0.1,0.1,0.2,0.2,0.8,3.9,2024
152,Shai Gilgeous-Alexander,PG,25,OKC,30,30,34.7,11.2,20.6,.546,1.1,3.4,.317,10.2,17.2,.591,.572,7.7,8.4,.916,0.8,4.8,5.7,6.3,2.6,0.8,2.0,2.3,31.2,2024
153,Anthony Gill,PF,31,WAS,20,0,6.6,1.0,1.9,.500,0.0,0.4,.000,1.0,1.5,.633,.500,0.6,0.7,.786,0.6,0.9,1.5,0.5,0.2,0.3,0.5,0.6,2.5,2024
154,Collin Gillespie,PG,24,DEN,11,0,7.8,0.7,1.8,.400,0.3,1.1,.250,0.5,0.7,.625,.475,0.1,0.1,1.000,0.1,0.3,0.4,0.7,0.5,0.0,0.4,0.9,1.8,2024
155,Jacob Gilyard,PG,25,MEM,20,8,15.6,1.3,3.1,.426,1.2,2.6,.442,0.2,0.5,.333,.615,0.1,0.1,1.000,0.3,0.7,1.0,3.0,0.6,0.1,0.7,1.0,3.8,2024
156,Rudy Gobert,C,31,MIN,31,31,32.5,4.9,7.9,.627,0.0,0.0,.000,4.9,7.8,.630,.627,3.1,4.8,.633,3.6,8.4,12.0,1.2,0.7,2.2,1.6,2.8,12.9,2024
157,Jordan Goodwin,PG,25,PHO,30,0,17.4,2.1,5.8,.368,0.8,2.6,.299,1.4,3.2,.423,.434,0.8,0.9,.852,1.2,2.6,3.8,2.4,0.6,0.3,0.9,1.3,5.8,2024
158,Aaron Gordon,PF,28,DEN,28,28,32.0,5.5,10.5,.525,0.5,1.9,.250,5.1,8.7,.584,.547,2.0,3.4,.606,2.8,4.0,6.9,3.4,1.0,0.6,1.5,1.6,13.6,2024
159,Eric Gordon,SG,35,PHO,28,19,32.0,5.1,10.9,.467,2.7,6.6,.409,2.4,4.3,.558,.592,0.6,0.8,.810,0.3,1.7,2.0,2.5,1.0,0.6,1.4,1.5,13.5,2024
160,Devonte' Graham,PG,28,SAS,7,0,9.7,1.0,2.7,.368,0.6,1.7,.333,0.4,1.0,.429,.474,0.9,1.1,.750,0.3,1.1,1.4,2.4,0.3,0.1,0.4,0.4,3.4,2024
161,Jerami Grant,PF,29,POR,27,27,35.2,7.6,16.5,.457,2.5,5.9,.419,5.1,10.6,.479,.533,4.8,5.9,.813,0.7,3.3,4.0,2.6,0.7,0.7,2.4,2.4,22.4,2024
162,A.J. Green,SG,24,MIL,21,0,7.2,1.0,2.4,.440,0.9,2.1,.432,0.1,0.3,.500,.630,0.0,0.0,1.000,0.1,0.6,0.8,0.6,0.0,0.0,0.0,0.8,3.0,2024
163,Danny Green,SG,36,PHI,2,0,9.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,2024
164,Draymond Green,PF,33,GSW,15,15,25.1,3.4,6.9,.490,1.2,2.8,.429,2.2,4.1,.532,.577,1.7,2.0,.833,1.5,4.1,5.5,5.8,0.4,0.7,2.4,3.0,9.7,2024
165,Jalen Green,SG,21,HOU,30,30,30.2,5.8,14.3,.405,2.1,6.1,.342,3.7,8.2,.451,.478,3.7,4.6,.803,0.4,4.1,4.4,3.1,0.6,0.4,2.3,1.3,17.4,2024
166,Jeff Green,PF,37,HOU,29,1,15.8,2.1,3.9,.549,0.3,1.1,.290,1.8,2.8,.646,.588,2.0,2.4,.826,0.8,1.4,2.1,0.7,0.2,0.5,0.7,1.4,6.6,2024
167,Josh Green,SG,23,DAL,21,5,24.5,2.6,5.9,.435,1.2,3.3,.371,1.3,2.6,.519,.540,0.6,1.0,.600,0.5,2.1,2.6,2.6,0.9,0.1,1.0,1.5,7.0,2024
168,AJ Griffin,SF,20,ATL,12,0,9.2,0.8,2.8,.294,0.7,2.1,.320,0.2,0.8,.222,.412,0.2,0.2,1.000,0.2,0.8,1.0,0.3,0.1,0.0,0.3,0.5,2.5,2024
169,Quentin Grimes,SG,23,NYK,29,18,20.5,2.2,5.7,.388,1.6,4.4,.370,0.6,1.3,.447,.530,0.1,0.2,.333,0.2,1.2,1.4,1.1,0.7,0.0,0.4,1.6,6.1,2024
170,Mouhamed Gueye,PF,21,ATL,2,0,2.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,2024
171,Rui Hachimura,PF,25,LAL,25,5,23.5,4.5,9.2,.485,1.1,3.0,.368,3.4,6.2,.542,.545,1.5,2.0,.760,0.8,2.8,3.6,1.1,0.7,0.2,0.8,1.4,11.6,2024
172,Tyrese Haliburton,PG,23,IND,28,28,34.2,8.8,17.5,.501,3.6,8.7,.414,5.1,8.8,.588,.604,3.5,4.1,.852,0.6,3.4,4.0,12.8,1.0,0.6,2.6,1.1,24.6,2024
173,R.J. Hampton,PG,22,MIA,5,2,12.4,0.8,2.6,.308,0.2,1.4,.143,0.6,1.2,.500,.346,0.2,0.4,.500,0.4,0.8,1.2,1.4,0.0,0.0,0.6,1.0,2.0,2024
174,Tim Hardaway Jr.,SF,31,DAL,30,4,29.2,6.1,14.8,.411,3.3,9.2,.359,2.8,5.6,.497,.522,2.4,2.8,.867,0.3,3.4,3.7,1.7,0.4,0.0,0.8,1.3,17.9,2024
175,James Harden,PG,34,LAC,26,26,34.1,5.2,11.2,.462,2.7,6.5,.423,2.5,4.8,.516,.584,4.5,5.3,.861,0.3,4.5,4.8,7.9,1.4,0.9,2.6,2.1,17.7,2024
176,Jaden Hardy,SG,21,DAL,28,3,14.9,2.6,7.2,.366,1.2,3.6,.337,1.4,3.6,.396,.450,0.8,1.2,.667,0.3,1.6,1.9,1.5,0.4,0.0,0.6,1.3,7.3,2024
177,Ron Harper Jr.,PF,23,TOR,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2024
178,Gary Harris,SG,29,ORL,25,5,23.0,2.4,5.7,.427,1.3,4.0,.333,1.1,1.8,.636,.542,1.0,1.2,.800,0.5,1.2,1.7,1.9,0.9,0.2,0.5,1.8,7.2,2024
179,Joe Harris,SG,32,DET,12,0,11.5,0.8,2.6,.323,0.6,2.0,.292,0.3,0.6,.429,.435,0.1,0.2,.500,0.3,0.7,0.9,0.8,0.3,0.2,0.3,1.3,2.3,2024
180,Tobias Harris,PF,31,PHI,32,32,34.1,6.6,12.9,.507,1.2,3.4,.358,5.3,9.5,.561,.554,2.9,3.2,.902,1.0,5.1,6.1,3.1,1.0,0.5,1.7,1.7,17.2,2024
181,Shaquille Harrison,SG,30,MEM,3,0,2.0,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.3,0.0,0.0,0.7,2024
182,Josh Hart,SF,28,NYK,32,6,28.3,3.0,6.5,.457,0.9,2.8,.337,2.0,3.7,.546,.529,0.7,0.8,.778,1.1,4.9,5.9,2.8,0.9,0.2,1.1,1.9,7.5,2024
183,Isaiah Hartenstein,C,25,NYK,32,6,22.4,2.4,4.1,.583,0.0,0.1,.333,2.4,4.0,.589,.587,1.3,1.9,.683,3.1,3.8,6.8,1.7,1.0,0.9,1.0,2.9,6.1,2024
184,Sam Hauser,SF,26,BOS,32,4,22.7,3.0,6.6,.450,2.4,5.7,.418,0.6,0.9,.655,.630,0.3,0.3,.800,0.8,2.8,3.6,1.0,0.5,0.3,0.5,1.5,8.6,2024
185,Jordan Hawkins,SG,21,NOP,28,9,23.3,3.4,8.9,.380,2.1,5.9,.360,1.3,3.1,.419,.498,1.5,1.7,.872,0.6,2.5,3.1,1.5,0.4,0.0,0.8,1.6,10.4,2024
186,Jaxson Hayes,C,23,LAL,30,1,10.5,1.3,1.9,.655,0.0,0.1,.000,1.3,1.8,.704,.655,0.5,0.9,.536,0.5,1.4,1.9,0.3,0.2,0.3,0.5,1.8,3.0,2024
187,Killian Hayes,PG,22,DET,27,21,25.2,3.4,8.1,.420,0.7,2.2,.305,2.7,5.9,.463,.461,1.0,1.5,.700,0.3,2.6,3.0,4.2,1.0,0.6,1.2,1.9,8.5,2024
188,Gordon Hayward,SF,33,CHO,25,25,31.9,5.6,11.9,.468,0.9,2.4,.361,4.7,9.4,.496,.505,2.5,3.2,.765,1.0,3.7,4.7,4.6,1.1,0.5,2.0,1.8,14.5,2024
189,Scoot Henderson,PG,19,POR,22,7,27.1,4.5,12.1,.372,1.1,4.0,.287,3.4,8.1,.413,.419,2.1,2.6,.807,0.9,1.9,2.8,4.7,0.6,0.2,3.1,3.8,12.2,2024
190,Taylor Hendricks,PF,20,UTA,11,0,15.9,1.9,5.0,.382,0.9,2.9,.313,1.0,2.1,.478,.473,0.5,0.7,.750,1.0,1.5,2.5,0.5,0.7,0.5,0.7,1.0,5.3,2024
191,Tyler Herro,SG,24,MIA,14,14,34.4,9.0,19.5,.462,3.3,7.9,.418,5.7,11.6,.491,.546,2.9,3.4,.872,0.6,4.9,5.5,4.4,1.2,0.1,2.6,1.4,24.2,2024
192,Buddy Hield,SF,31,IND,31,16,26.5,4.8,10.9,.445,2.9,7.6,.386,1.9,3.3,.584,.580,0.6,0.7,.864,0.7,2.6,3.4,2.6,0.8,0.7,1.5,1.9,13.2,2024
193,Haywood Highsmith,PF,27,MIA,21,15,21.1,2.1,5.2,.409,1.0,3.2,.324,1.1,2.0,.548,.509,0.7,0.9,.778,0.9,2.0,2.9,1.4,1.1,0.6,0.9,2.2,6.0,2024
194,Nate Hinton,SG,24,HOU,5,0,5.2,0.8,1.8,.444,0.8,1.0,.800,0.0,0.8,.000,.667,0.0,0.0,,0.4,0.6,1.0,0.2,0.0,0.0,0.2,1.0,2.4,2024
195,D'Moi Hodge,SG,25,LAL,7,0,5.9,0.7,2.1,.333,0.4,1.7,.250,0.3,0.4,.667,.433,0.1,0.3,.500,0.0,0.0,0.0,0.7,0.1,0.1,0.1,0.6,2.0,2024
196,Aaron Holiday,PG,27,HOU,28,1,18.4,2.7,6.0,.446,1.4,3.3,.418,1.3,2.8,.481,.560,0.6,0.7,.895,0.3,1.6,1.9,1.7,0.5,0.1,0.8,1.8,7.3,2024
197,Jrue Holiday,PG,33,BOS,29,29,34.7,5.0,10.9,.459,1.9,4.5,.420,3.1,6.4,.486,.546,1.2,1.5,.818,1.7,4.9,6.6,4.7,0.9,0.8,2.0,1.7,13.1,2024
198,Justin Holiday,SG,34,DEN,19,6,15.5,1.7,3.3,.508,1.1,2.3,.465,0.6,1.1,.600,.667,0.0,0.0,,0.2,1.3,1.5,1.2,0.7,0.1,0.3,1.3,4.4,2024
199,Richaun Holmes,C,30,DAL,15,1,10.8,1.5,3.0,.489,0.0,0.0,,1.5,3.0,.489,.489,0.6,1.2,.500,1.7,2.3,3.9,0.5,0.1,0.4,0.7,1.5,3.5,2024
200,Chet Holmgren,C,21,OKC,31,31,29.9,6.5,12.0,.543,1.7,4.2,.400,4.8,7.8,.620,.613,3.0,3.6,.838,1.6,6.1,7.8,2.5,0.7,2.7,1.8,2.7,17.7,2024
201,Jalen Hood-Schifino,SG,20,LAL,7,0,9.0,0.9,3.4,.250,0.1,1.3,.111,0.7,2.1,.333,.271,0.7,1.4,.500,0.1,0.7,0.9,0.7,0.3,0.1,0.7,1.1,2.6,2024
202,Al Horford,C,37,BOS,27,12,26.7,2.9,6.0,.478,1.4,3.8,.379,1.4,2.1,.655,.599,0.4,0.4,1.000,1.6,5.5,7.0,2.9,0.4,1.0,0.9,1.6,7.5,2024
203,Talen Horton-Tucker,PG,23,UTA,29,11,22.3,4.1,10.0,.412,1.3,3.8,.336,2.8,6.2,.458,.476,1.6,1.9,.818,0.4,2.2,2.6,4.3,1.0,0.4,1.8,2.1,11.0,2024
204,Danuel House Jr.,SF,30,PHI,20,0,11.8,1.1,2.6,.423,0.6,1.5,.379,0.6,1.2,.478,.529,0.7,0.9,.722,0.4,0.9,1.3,0.8,0.3,0.1,0.7,0.8,3.4,2024
205,Caleb Houstan,SF,21,ORL,23,0,12.1,1.0,2.8,.375,0.9,2.6,.350,0.1,0.2,.750,.539,0.3,0.3,1.000,0.5,1.2,1.7,0.4,0.1,0.0,0.3,0.9,3.3,2024
206,Jett Howard,SF,20,ORL,9,0,4.0,0.6,1.8,.313,0.3,1.3,.250,0.2,0.4,.500,.406,0.1,0.2,.500,0.1,0.3,0.4,0.3,0.0,0.0,0.2,0.1,1.6,2024
207,Kevin Huerter,SG,25,SAC,30,29,24.2,3.9,9.2,.428,1.9,5.5,.352,2.0,3.7,.541,.533,0.6,0.8,.783,0.6,3.1,3.7,2.6,0.6,0.3,0.6,2.2,10.4,2024
208,Jay Huff,C,25,DEN,2,0,1.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024
209,De'Andre Hunter,SF,26,ATL,24,24,30.3,5.1,11.0,.460,1.9,4.8,.404,3.2,6.3,.503,.547,2.8,3.1,.907,0.6,3.5,4.1,1.4,0.8,0.4,1.5,3.0,14.9,2024
210,Bones Hyland,PG,23,LAC,15,2,15.1,2.8,6.9,.404,1.3,3.7,.364,1.5,3.3,.449,.500,0.7,0.8,.833,0.1,0.9,1.0,1.8,0.5,0.0,1.3,1.5,7.6,2024
211,Joe Ingles,SF,36,ORL,24,0,18.2,1.6,3.9,.404,1.0,2.5,.407,0.6,1.5,.400,.532,0.7,0.8,.895,0.5,2.3,2.8,3.4,0.8,0.1,0.8,1.5,4.9,2024
212,Brandon Ingram,SF,26,NOP,30,30,34.0,8.8,17.5,.501,1.4,4.0,.347,7.4,13.5,.547,.541,4.4,5.4,.815,0.7,4.1,4.8,5.5,0.8,0.5,2.6,2.2,23.3,2024
213,Kyrie Irving,SG,31,DAL,17,17,31.8,8.6,18.2,.471,2.5,6.6,.384,6.1,11.6,.520,.540,3.3,3.6,.903,0.6,3.4,3.9,5.2,1.2,0.3,1.4,1.8,23.0,2024
214,Jonathan Isaac,PF,26,ORL,21,0,13.6,2.3,5.0,.453,0.6,2.2,.277,1.7,2.8,.593,.514,1.2,1.5,.781,1.1,3.0,4.1,0.3,0.9,1.2,0.6,1.3,6.4,2024
215,Jaden Ivey,SG,21,DET,28,12,25.5,4.4,9.6,.452,1.0,3.3,.312,3.3,6.3,.525,.506,3.0,3.9,.764,1.1,2.4,3.5,3.1,0.8,0.6,2.0,2.9,12.8,2024
216,Andre Jackson Jr.,SG,22,MIL,26,5,9.9,1.0,1.8,.532,0.4,1.0,.423,0.5,0.8,.667,.649,0.1,0.2,.750,0.8,0.8,1.7,0.9,0.3,0.0,0.5,1.7,2.5,2024
217,Gregory Jackson II,PF,19,MEM,4,0,4.8,0.8,2.5,.300,0.5,1.3,.400,0.3,1.3,.200,.400,0.0,0.0,,0.3,0.5,0.8,0.0,0.3,0.3,0.3,0.5,2.0,2024
218,Isaiah Jackson,C,22,IND,23,1,14.1,2.8,4.1,.674,0.0,0.1,.000,2.8,4.0,.688,.674,1.3,1.9,.705,1.5,2.7,4.2,0.9,0.6,1.4,0.6,2.7,6.9,2024
219,Jaren Jackson Jr.,C,24,MEM,32,32,31.5,7.2,15.6,.458,1.6,4.9,.327,5.6,10.8,.517,.509,5.1,6.2,.832,1.4,4.2,5.5,1.7,0.8,1.6,1.9,3.6,21.0,2024
220,Reggie Jackson,PG,33,DEN,34,14,24.0,4.9,10.4,.468,1.5,4.0,.378,3.4,6.5,.523,.539,1.0,1.4,.739,0.4,1.8,2.1,4.4,0.6,0.2,1.6,2.0,12.3,2024
221,Trayce Jackson-Davis,PF,23,GSW,22,1,12.4,2.3,3.6,.638,0.0,0.0,,2.3,3.6,.638,.638,1.0,1.7,.605,1.6,2.3,4.0,0.9,0.3,0.7,0.6,1.7,5.7,2024
222,LeBron James,PF,39,LAL,31,31,34.2,9.4,17.6,.535,2.3,5.5,.409,7.2,12.1,.592,.599,4.3,5.8,.749,0.9,6.5,7.4,7.4,1.4,0.7,3.3,1.1,25.4,2024
223,Jaime Jaquez Jr.,SF,22,MIA,32,8,29.4,5.3,10.4,.506,1.1,3.0,.365,4.2,7.4,.564,.559,2.1,2.4,.857,1.3,2.6,3.9,2.6,1.0,0.3,1.6,2.5,13.7,2024
224,DaQuan Jeffries,SG,26,NYK,10,0,3.0,0.5,1.2,.417,0.1,0.5,.200,0.4,0.7,.571,.458,0.0,0.2,.000,0.0,0.5,0.5,0.2,0.0,0.0,0.1,0.2,1.1,2024
225,Ty Jerome,SG,26,CLE,2,0,7.5,1.0,2.0,.500,0.0,0.5,.000,1.0,1.5,.667,.500,0.0,0.0,,0.5,0.0,0.5,1.5,0.0,0.0,0.5,1.0,2.0,2024
226,Isaiah Joe,SG,24,OKC,31,0,19.9,3.1,6.9,.442,2.3,5.4,.422,0.8,1.6,.510,.605,0.9,1.1,.824,0.2,2.1,2.3,1.1,0.7,0.4,0.5,1.2,9.3,2024
227,Cameron Johnson,PF,27,BRK,25,25,28.9,5.5,11.5,.479,2.5,6.1,.414,3.0,5.4,.551,.589,1.4,1.8,.773,1.3,3.6,4.9,2.4,0.8,0.1,1.0,1.9,14.9,2024
228,Jalen Johnson,SF,22,ATL,18,15,30.5,5.8,9.7,.594,1.1,2.7,.408,4.7,7.0,.667,.651,1.9,2.4,.773,1.4,6.7,8.1,2.7,1.0,0.9,2.1,2.1,14.6,2024
229,James Johnson,PF,36,IND,3,0,5.3,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.0,0.0,,0.3,0.7,1.0,1.3,0.3,0.0,0.3,0.7,0.7,2024
230,Keldon Johnson,SF,24,SAS,30,26,32.5,6.4,13.9,.464,1.9,5.6,.345,4.5,8.3,.544,.534,2.8,3.7,.757,1.3,4.9,6.3,3.9,0.9,0.2,1.7,2.5,17.6,2024
231,Keon Johnson,SG,21,BRK,1,0,21.0,3.0,8.0,.375,2.0,4.0,.500,1.0,4.0,.250,.500,4.0,4.0,1.000,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,2024
232,Keyontae Johnson,SF,23,OKC,1,0,6.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
233,Nikola Jokić,C,28,DEN,33,33,33.6,10.1,18.1,.555,1.1,3.4,.333,8.9,14.8,.606,.586,4.9,6.0,.817,3.1,9.2,12.3,9.2,1.2,0.8,2.7,2.6,26.1,2024
234,Colby Jones,SG,21,SAC,12,0,6.4,1.2,2.6,.452,0.1,0.7,.125,1.1,1.9,.565,.468,0.2,0.3,.667,0.6,0.8,1.3,0.2,0.2,0.1,0.3,0.9,2.6,2024
235,Damian Jones,C,28,CLE,13,0,5.3,0.5,1.0,.538,0.1,0.2,.500,0.5,0.8,.545,.577,0.2,0.2,.667,0.3,0.8,1.1,0.3,0.2,0.2,0.4,0.7,1.3,2024
236,Derrick Jones Jr.,SF,26,DAL,32,31,25.4,3.8,8.0,.469,1.5,4.3,.348,2.3,3.7,.610,.563,1.5,1.9,.770,1.3,2.5,3.8,1.0,0.9,0.8,0.8,1.8,10.5,2024
237,Herbert Jones,SF,25,NOP,30,30,29.6,3.7,7.8,.468,1.1,3.3,.323,2.6,4.5,.574,.536,2.1,2.4,.863,1.2,2.7,3.9,2.6,1.4,1.0,1.2,3.1,10.5,2024
238,Tre Jones,PG,24,SAS,28,0,23.4,3.3,7.0,.469,0.5,2.1,.237,2.8,4.9,.569,.505,1.1,1.3,.838,0.7,2.1,2.8,4.9,0.8,0.1,1.4,1.2,8.2,2024
239,Tyus Jones,PG,27,WAS,32,32,28.0,5.3,9.8,.537,1.5,3.5,.425,3.8,6.3,.599,.613,0.5,0.7,.773,0.3,2.7,3.0,5.5,1.2,0.3,0.8,0.8,12.6,2024
